"champion_i","champion_i_normalized","champion_j","champion_j_normalized","lane","patch","elo","matchup_winrate_i_vs_j","matchup_games","source_url","extraction_date","champion_i_total_games","matchup_share_percent","low_matchup_sample","low_champion_sample"
"Ahri","ahri","Sylas","sylas","mid",16.05,"plat_plus",51.88,17164,"https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=sylas",2026-03-13,392193,4.37641671319988,0,0
"Ahri","ahri","Mel","mel","mid",16.05,"plat_plus",48.28,16227,"https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=mel",2026-03-13,392193,4.13750372903137,0,0
"Ahri","ahri","Yasuo","yasuo","mid",16.05,"plat_plus",50.5,14329,"https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=yasuo",2026-03-13,392193,3.65355832460039,0,0
"Ahri","ahri","Viktor","viktor","mid",16.05,"plat_plus",51.43,13990,"https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=viktor",2026-03-13,392193,3.56712128977315,0,0
"Ahri","ahri","Zed","zed","mid",16.05,"plat_plus",50.31,11919,"https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=zed",2026-03-13,392193,3.03906495016484,0,0
"Ahri","ahri","Malzahar","malzahar","mid",16.05,"plat_plus",52.13,11670,"https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=malzahar",2026-03-13,392193,2.97557580068997,0,0
"Ahri","ahri","Katarina","katarina","mid",16.05,"plat_plus",50.52,11116,"https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=katarina",2026-03-13,392193,2.83431881752097,0,0
"Ahri","ahri","Akali","akali","mid",16.05,"plat_plus",52.44,10824,"https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=akali",2026-03-13,392193,2.75986567837774,0,0
"Ahri","ahri","Veigar","veigar","mid",16.05,"plat_plus",48.3,10576,"https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=veigar",2026-03-13,392193,2.69663150540678,0,0
"Ahri","ahri","Syndra","syndra","mid",16.05,"plat_plus",52.06,9739,"https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=syndra",2026-03-13,392193,2.48321617162978,0,0
"Ahri","ahri","Yone","yone","mid",16.05,"plat_plus",55.46,9448,"https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=yone",2026-03-13,392193,2.40901800899047,0,0
"Ahri","ahri","Xerath","xerath","mid",16.05,"plat_plus",50.64,9175,"https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=xerath",2026-03-13,392193,2.33940942342163,0,0
"Ahri","ahri","Twisted Fate","twistedfate","mid",16.05,"plat_plus",51.24,9059,"https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=twistedfate",2026-03-13,392193,2.30983214896747,0,0
"Ahri","ahri","Orianna","orianna","mid",16.05,"plat_plus",54.66,8769,"https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=orianna",2026-03-13,392193,2.23588896283208,0,0
"Ahri","ahri","LeBlanc","leblanc","mid",16.05,"plat_plus",51.51,8499,"https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=leblanc",2026-03-13,392193,2.16704530677498,0,0
"Ahri","ahri","Lux","lux","mid",16.05,"plat_plus",51.69,8110,"https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=lux",2026-03-13,392193,2.06785944675198,0,0
"Ahri","ahri","Fizz","fizz","mid",16.05,"plat_plus",50.74,7292,"https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=fizz",2026-03-13,392193,1.85928866654938,0,0
"Ahri","ahri","Aurora","aurora","mid",16.05,"plat_plus",52.08,7030,"https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=aurora",2026-03-13,392193,1.7924848225236,0,0
"Ahri","ahri","Diana","diana","mid",16.05,"plat_plus",50.46,6893,"https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=diana",2026-03-13,392193,1.75755304148723,0,0
"Ahri","ahri","Zoe","zoe","mid",16.05,"plat_plus",49.29,6634,"https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=zoe",2026-03-13,392193,1.6915141269732,0,0
"Ahri","ahri","Ryze","ryze","mid",16.05,"plat_plus",54.74,6597,"https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=ryze",2026-03-13,392193,1.68207999632834,0,0
"Ahri","ahri","Galio","galio","mid",16.05,"plat_plus",55.52,6281,"https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=galio",2026-03-13,392193,1.60150742109115,0,0
"Ahri","ahri","Anivia","anivia","mid",16.05,"plat_plus",50.91,5836,"https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=anivia",2026-03-13,392193,1.4880428768489,0,0
"Ahri","ahri","Hwei","hwei","mid",16.05,"plat_plus",52.84,5712,"https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=hwei",2026-03-13,392193,1.45642579036342,0,0
"Ahri","ahri","Vex","vex","mid",16.05,"plat_plus",49.67,5643,"https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=vex",2026-03-13,392193,1.43883241159327,0,0
"Ahri","ahri","Annie","annie","mid",16.05,"plat_plus",50.16,5391,"https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=annie",2026-03-13,392193,1.37457833260665,0,0
