champion_i,champion_i_normalized,champion_j,champion_j_normalized,lane,patch,elo,matchup_winrate_i_vs_j,matchup_games,matchup_occurrence_count,matchup_occurrence_rate,source_url,extraction_date
Ahri,ahri,Mel,mel,mid,16.06,plat_plus,48.14,24580,24580,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.06&target_champion=mel,2026-04-07
Ahri,ahri,Sylas,sylas,mid,16.06,plat_plus,50.97,23914,23914,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.06&target_champion=sylas,2026-04-07
Ahri,ahri,Viktor,viktor,mid,16.06,plat_plus,50.52,18979,18979,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.06&target_champion=viktor,2026-04-07
Ahri,ahri,Yasuo,yasuo,mid,16.06,plat_plus,49.96,18614,18614,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.06&target_champion=yasuo,2026-04-07
Ahri,ahri,Malzahar,malzahar,mid,16.06,plat_plus,51.31,16627,16627,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.06&target_champion=malzahar,2026-04-07
Ahri,ahri,Zed,zed,mid,16.06,plat_plus,49.65,15931,15931,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.06&target_champion=zed,2026-04-07
Ahri,ahri,Katarina,katarina,mid,16.06,plat_plus,49.28,15711,15711,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.06&target_champion=katarina,2026-04-07
Ahri,ahri,Akali,akali,mid,16.06,plat_plus,52.32,14948,14948,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.06&target_champion=akali,2026-04-07
Ahri,ahri,Xerath,xerath,mid,16.06,plat_plus,50.35,13967,13967,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.06&target_champion=xerath,2026-04-07
Ahri,ahri,Syndra,syndra,mid,16.06,plat_plus,50.33,13312,13312,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.06&target_champion=syndra,2026-04-07
Ahri,ahri,Veigar,veigar,mid,16.06,plat_plus,48.6,13178,13178,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.06&target_champion=veigar,2026-04-07
Ahri,ahri,Yone,yone,mid,16.06,plat_plus,54.49,12443,12443,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.06&target_champion=yone,2026-04-07
Ahri,ahri,LeBlanc,leblanc,mid,16.06,plat_plus,50.45,12176,12176,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.06&target_champion=leblanc,2026-04-07
Ahri,ahri,Twisted Fate,twistedfate,mid,16.06,plat_plus,50.88,12115,12115,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.06&target_champion=twistedfate,2026-04-07
Ahri,ahri,Orianna,orianna,mid,16.06,plat_plus,53.23,11815,11815,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.06&target_champion=orianna,2026-04-07
Ahri,ahri,Lissandra,lissandra,mid,16.06,plat_plus,50.06,11574,11574,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.06&target_champion=lissandra,2026-04-07
Ahri,ahri,Lux,lux,mid,16.06,plat_plus,50.1,10990,10990,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.06&target_champion=lux,2026-04-07
Ahri,ahri,Fizz,fizz,mid,16.06,plat_plus,49.66,10463,10463,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.06&target_champion=fizz,2026-04-07
Ahri,ahri,Aurora,aurora,mid,16.06,plat_plus,51.54,10322,10322,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.06&target_champion=aurora,2026-04-07
Ahri,ahri,Zoe,zoe,mid,16.06,plat_plus,49.52,9015,9015,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.06&target_champion=zoe,2026-04-07
Ahri,ahri,Diana,diana,mid,16.06,plat_plus,49.11,8828,8828,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.06&target_champion=diana,2026-04-07
Ahri,ahri,Galio,galio,mid,16.06,plat_plus,54.15,8679,8679,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.06&target_champion=galio,2026-04-07
Ahri,ahri,Ryze,ryze,mid,16.06,plat_plus,53.68,8236,8236,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.06&target_champion=ryze,2026-04-07
Ahri,ahri,Hwei,hwei,mid,16.06,plat_plus,51.43,8007,8007,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.06&target_champion=hwei,2026-04-07
