"champion_j","enemy_total_games","f_j"
"Ahri",167739,0.0609307929731927
"Yasuo",124182,0.0451088162740747
"Viktor",110592,0.0401722810824634
"Malzahar",109308,0.0397058711349999
"Sylas",101991,0.0370479882801787
"Zed",100910,0.0366553176001101
"Akali",99028,0.0359716855743108
"Mel",98143,0.0356502114282788
"Katarina",97447,0.0353973910829247
"Xerath",86941,0.0315811115595201
"Yone",81899,0.0297496170461938
"Lissandra",77493,0.0281491480208635
"Fizz",73879,0.0268363711126602
"Veigar",70989,0.0257865854832447
"Syndra",70230,0.0255108805376646
"Twisted Fate",65499,0.0237923560349778
"LeBlanc",64731,0.0235133818607941
"Orianna",64520,0.0234367366124181
"Lux",62042,0.0225366090035282
"Diana",55446,0.020140627684627
"Galio",53286,0.0193560128197351
"Aurora",51952,0.0188714404911398
"Vex",50955,0.0185092826113726
"Zoe",50580,0.0183730647528845
"Anivia",50449,0.0183254793143193
"Ryze",49879,0.0181184281694172
"Hwei",48634,0.0176661848792365
"Aurelion Sol",44979,0.0163385148185051
"Ekko",44301,0.0160922329303585
"Vladimir",44014,0.0159879808626622
"Irelia",39233,0.0142512939788437
"Akshan",37430,0.0135963585152326
"Kassadin",36941,0.013418730427764
"Talon",36830,0.0133784099416515
"Annie",34748,0.0126221283913252
"Azir",34489,0.0125280472570627
"Naafiri",33531,0.0121800560345783
"Qiyana",30353,0.0110256550898438
"Cassiopeia",19716,0.00716179012787406
"Taliyah",18986,0.00689661936335042
"Vel'Koz",17800,0.00646580768290517
"Swain",16758,0.00608730366011937
"Brand",16717,0.00607241050759133
"Sion",15583,0.0056604877035231
"Smolder",15419,0.00560091509341094
"Ziggs",14127,0.00513159916496636
"Malphite",13187,0.00479014639968935
"Pantheon",12410,0.00450790299690186
"Jayce",9902,0.00359687795933298
"Nasus",9646,0.00350388656793838
"Morgana",9037,0.0032826687657536
"Cho'Gath",8062,0.00292850233368435
