champion_name,champion_name_normalized,lane,patch,elo,winrate,pickrate,banrate,total_games,source_url,extraction_date
Malzahar,malzahar,mid,16.07,plat_plus,52.1,7.58,12.33,140607,https://op.gg/lol/champions/malzahar/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07
Ahri,ahri,mid,16.07,plat_plus,51.23,11.25,6.17,208625,https://op.gg/lol/champions/ahri/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07
Xerath,xerath,mid,16.07,plat_plus,52.28,5.77,9.15,107160,https://op.gg/lol/champions/xerath/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07
Veigar,veigar,mid,16.07,plat_plus,52.11,4.95,2.43,92118,https://op.gg/lol/champions/veigar/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07
Viktor,viktor,mid,16.07,plat_plus,51.27,7.29,3.92,135546,https://op.gg/lol/champions/viktor/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07
Fizz,fizz,mid,16.07,plat_plus,51.79,5.14,7.58,95059,https://op.gg/lol/champions/fizz/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07
Lissandra,lissandra,mid,16.07,plat_plus,51.84,5.15,2.32,95790,https://op.gg/lol/champions/lissandra/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07
Akali,akali,mid,16.07,plat_plus,50.59,6.74,19.9,125633,https://op.gg/lol/champions/akali/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07
Yasuo,yasuo,mid,16.07,plat_plus,49.83,8.79,19.5,162907,https://op.gg/lol/champions/yasuo/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07
Diana,diana,mid,16.07,plat_plus,51.8,3.8,5.9,70931,https://op.gg/lol/champions/diana/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07
Katarina,katarina,mid,16.07,plat_plus,50.6,6.62,9.57,122886,https://op.gg/lol/champions/katarina/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07
Lux,lux,mid,16.07,plat_plus,51.44,4.26,5.15,79024,https://op.gg/lol/champions/lux/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07
Vex,vex,mid,16.07,plat_plus,52.0,3.44,3.8,64123,https://op.gg/lol/champions/vex/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07
Aurelion Sol,aurelionsol,mid,16.07,plat_plus,52.14,3.05,1.24,56607,https://op.gg/lol/champions/aurelionsol/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07
Anivia,anivia,mid,16.07,plat_plus,51.87,3.32,3.0,61657,https://op.gg/lol/champions/anivia/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07
Zed,zed,mid,16.07,plat_plus,49.91,6.82,23.37,127060,https://op.gg/lol/champions/zed/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07
Twisted Fate,twistedfate,mid,16.07,plat_plus,51.12,4.32,0.9,80542,https://op.gg/lol/champions/twistedfate/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07
Annie,annie,mid,16.07,plat_plus,52.31,2.32,0.61,43174,https://op.gg/lol/champions/annie/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07
Sion,sion,mid,16.07,plat_plus,53.76,1.04,1.16,19539,https://op.gg/lol/champions/sion/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07
Sylas,sylas,mid,16.07,plat_plus,49.52,6.87,12.99,127952,https://op.gg/lol/champions/sylas/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07
LeBlanc,leblanc,mid,16.07,plat_plus,50.34,4.33,14.43,80556,https://op.gg/lol/champions/leblanc/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07
Mel,mel,mid,16.07,plat_plus,48.68,6.67,37.74,124171,https://op.gg/lol/champions/mel/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07
Syndra,syndra,mid,16.07,plat_plus,50.06,4.67,2.88,86397,https://op.gg/lol/champions/syndra/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07
Naafiri,naafiri,mid,16.07,plat_plus,51.08,2.34,16.76,43443,https://op.gg/lol/champions/naafiri/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07
Hwei,hwei,mid,16.07,plat_plus,50.73,3.23,1.51,60029,https://op.gg/lol/champions/hwei/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07
Ekko,ekko,mid,16.07,plat_plus,50.72,3.02,2.49,56030,https://op.gg/lol/champions/ekko/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07
Akshan,akshan,mid,16.07,plat_plus,51.09,2.48,2.41,46043,https://op.gg/lol/champions/akshan/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07
Zoe,zoe,mid,16.07,plat_plus,50.25,3.34,4.89,62134,https://op.gg/lol/champions/zoe/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07
Yone,yone,mid,16.07,plat_plus,48.92,5.71,5.44,105803,https://op.gg/lol/champions/yone/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07
Vladimir,vladimir,mid,16.07,plat_plus,50.4,2.94,3.91,54416,https://op.gg/lol/champions/vladimir/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07
Irelia,irelia,mid,16.07,plat_plus,50.23,2.73,13.69,50744,https://op.gg/lol/champions/irelia/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07
Malphite,malphite,mid,16.07,plat_plus,52.16,0.92,20.88,17152,https://op.gg/lol/champions/malphite/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07
Aurora,aurora,mid,16.07,plat_plus,49.86,3.43,2.45,63556,https://op.gg/lol/champions/aurora/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07
Pantheon,pantheon,mid,16.07,plat_plus,52.51,0.86,1.8,16143,https://op.gg/lol/champions/pantheon/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07
Swain,swain,mid,16.07,plat_plus,51.88,1.14,3.75,21200,https://op.gg/lol/champions/swain/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07
Vel'Koz,velkoz,mid,16.07,plat_plus,51.83,1.19,1.36,22030,https://op.gg/lol/champions/velkoz/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07
Brand,brand,mid,16.07,plat_plus,51.78,1.16,3.59,21704,https://op.gg/lol/champions/brand/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07
Galio,galio,mid,16.07,plat_plus,49.5,3.58,1.57,66804,https://op.gg/lol/champions/galio/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07
Kassadin,kassadin,mid,16.07,plat_plus,50.04,2.47,2.87,45775,https://op.gg/lol/champions/kassadin/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07
Nasus,nasus,mid,16.07,plat_plus,52.29,0.67,5.83,12440,https://op.gg/lol/champions/nasus/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07
Qiyana,qiyana,mid,16.07,plat_plus,49.8,1.99,1.47,36993,https://op.gg/lol/champions/qiyana/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07
Orianna,orianna,mid,16.07,plat_plus,48.05,4.23,0.85,78833,https://op.gg/lol/champions/orianna/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07
Morgana,morgana,mid,16.07,plat_plus,51.52,0.63,19.3,11688,https://op.gg/lol/champions/morgana/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07
Cassiopeia,cassiopeia,mid,16.07,plat_plus,50.5,1.3,1.22,24217,https://op.gg/lol/champions/cassiopeia/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07
Ziggs,ziggs,mid,16.07,plat_plus,50.89,0.96,0.49,17943,https://op.gg/lol/champions/ziggs/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07
Talon,talon,mid,16.07,plat_plus,48.39,2.49,4.17,46466,https://op.gg/lol/champions/talon/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07
Ryze,ryze,mid,16.07,plat_plus,47.33,3.31,0.87,61748,https://op.gg/lol/champions/ryze/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07
Cho'Gath,chogath,mid,16.07,plat_plus,50.73,0.55,0.79,10267,https://op.gg/lol/champions/chogath/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07
Jayce,jayce,mid,16.07,plat_plus,50.2,0.66,3.52,12358,https://op.gg/lol/champions/jayce/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07
Taliyah,taliyah,mid,16.07,plat_plus,48.4,1.24,0.31,23069,https://op.gg/lol/champions/taliyah/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07
Azir,azir,mid,16.07,plat_plus,46.8,2.29,0.35,42369,https://op.gg/lol/champions/azir/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07
Smolder,smolder,mid,16.07,plat_plus,46.92,1.05,6.3,19622,https://op.gg/lol/champions/smolder/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07
