champion_name,champion_name_normalized,lane,patch,rank,population_scope_pickrate,population_scope_depth,pick_rate,breadth,depth,classification,unique_players,total_ranked_games,source_url,extraction_date
Aatrox,aatrox,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.12,1.37,1.03,popular,167784,376933,https://lolalytics.com/lol/aatrox/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Ahri,ahri,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,11.15,2.43,0.97,broad,314416,667576,https://lolalytics.com/lol/ahri/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Akali,akali,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,6.74,2.13,1.02,popular,262355,582739,https://lolalytics.com/lol/akali/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Akshan,akshan,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,2.42,0.53,1.33,niche,49561,144378,https://lolalytics.com/lol/akshan/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Alistar,alistar,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.02,0.72,0.79,unpopular,115261,198181,https://lolalytics.com/lol/alistar/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Ambessa,ambessa,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.27,1.31,1.04,popular,158834,360478,https://lolalytics.com/lol/ambessa/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Amumu,amumu,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.01,1.0,0.98,broad,127983,274216,https://lolalytics.com/lol/amumu/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Anivia,anivia,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,3.31,0.89,1.05,niche,106311,244066,https://lolalytics.com/lol/anivia/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Annie,annie,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,2.33,0.55,0.85,unpopular,81314,150457,https://lolalytics.com/lol/annie/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Aphelios,aphelios,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.03,0.9,1.19,niche,95177,246193,https://lolalytics.com/lol/aphelios/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Ashe,ashe,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.09,3.41,1.02,popular,420349,933841,https://lolalytics.com/lol/ashe/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Aurelion Sol,aurelionsol,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,3.04,0.83,1.28,niche,81686,227891,https://lolalytics.com/lol/aurelionsol/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Aurora,aurora,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,3.38,0.78,0.96,unpopular,101076,212693,https://lolalytics.com/lol/aurora/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Azir,azir,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,2.26,0.43,1.09,niche,49561,118339,https://lolalytics.com/lol/azir/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Bard,bard,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.01,0.73,1.09,niche,84270,201358,https://lolalytics.com/lol/bard/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Bel'Veth,belveth,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.01,0.28,1.24,niche,28612,77664,https://lolalytics.com/lol/belveth/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Blitzcrank,blitzcrank,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.01,1.24,0.77,broad,202416,339880,https://lolalytics.com/lol/blitzcrank/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Brand,brand,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,1.18,1.6,1.01,popular,198904,440090,https://lolalytics.com/lol/brand/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Braum,braum,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.0,0.97,0.79,unpopular,153319,265737,https://lolalytics.com/lol/braum/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Briar,briar,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.25,1.5,1.6,popular,117933,411719,https://lolalytics.com/lol/briar/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Caitlyn,caitlyn,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.15,4.6,1.11,popular,522918,1262214,https://lolalytics.com/lol/caitlyn/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Camille,camille,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.06,0.51,0.99,unpopular,64437,139398,https://lolalytics.com/lol/camille/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Cassiopeia,cassiopeia,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,1.28,0.37,0.88,unpopular,52736,100879,https://lolalytics.com/lol/cassiopeia/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Cho'Gath,chogath,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.56,0.96,0.91,unpopular,131644,262117,https://lolalytics.com/lol/chogath/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Corki,corki,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.27,0.54,0.82,unpopular,82159,147082,https://lolalytics.com/lol/corki/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Darius,darius,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.07,2.04,0.99,broad,257759,559789,https://lolalytics.com/lol/darius/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Diana,diana,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,3.84,1.85,1.08,popular,215497,507920,https://lolalytics.com/lol/diana/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Draven,draven,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.06,0.84,1.16,niche,90258,229285,https://lolalytics.com/lol/draven/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Dr. Mundo,drmundo,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.09,1.73,0.95,broad,229030,473792,https://lolalytics.com/lol/drmundo/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Ekko,ekko,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,3.02,1.48,1.13,popular,165067,405430,https://lolalytics.com/lol/ekko/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Elise,elise,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.04,0.46,1.07,niche,53908,126396,https://lolalytics.com/lol/elise/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Evelynn,evelynn,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.01,0.51,1.23,niche,52059,139921,https://lolalytics.com/lol/evelynn/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Ezreal,ezreal,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.35,3.63,0.99,broad,459411,995573,https://lolalytics.com/lol/ezreal/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Fiddlesticks,fiddlesticks,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.11,0.77,1.13,niche,86174,211881,https://lolalytics.com/lol/fiddlesticks/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
