champion_name,champion_name_normalized,lane,patch,elo,winrate,pickrate,banrate,total_games,source_url,extraction_date
Ahri,ahri,mid,16.07,emerald_plus,51.19,11.82,6.34,80848,https://op.gg/lol/champions/ahri/build/mid?region=global&tier=emerald_plus,2026-04-05
Xerath,xerath,mid,16.07,emerald_plus,52.02,6.04,7.81,41486,https://op.gg/lol/champions/xerath/build/mid?region=global&tier=emerald_plus,2026-04-05
Malzahar,malzahar,mid,16.07,emerald_plus,51.62,6.32,9.3,43397,https://op.gg/lol/champions/malzahar/build/mid?region=global&tier=emerald_plus,2026-04-05
Lissandra,lissandra,mid,16.07,emerald_plus,51.81,5.45,2.36,37225,https://op.gg/lol/champions/lissandra/build/mid?region=global&tier=emerald_plus,2026-04-05
Viktor,viktor,mid,16.07,emerald_plus,50.94,7.92,4.31,54315,https://op.gg/lol/champions/viktor/build/mid?region=global&tier=emerald_plus,2026-04-05
Katarina,katarina,mid,16.07,emerald_plus,51.14,6.76,10.51,46233,https://op.gg/lol/champions/katarina/build/mid?region=global&tier=emerald_plus,2026-04-05
Twisted Fate,twistedfate,mid,16.07,emerald_plus,51.91,4.71,1.18,32392,https://op.gg/lol/champions/twistedfate/build/mid?region=global&tier=emerald_plus,2026-04-05
Fizz,fizz,mid,16.07,emerald_plus,51.8,4.51,5.85,30710,https://op.gg/lol/champions/fizz/build/mid?region=global&tier=emerald_plus,2026-04-05
Akali,akali,mid,16.07,emerald_plus,50.78,6.57,20.47,45063,https://op.gg/lol/champions/akali/build/mid?region=global&tier=emerald_plus,2026-04-05
Veigar,veigar,mid,16.07,emerald_plus,51.98,4.09,1.73,28109,https://op.gg/lol/champions/veigar/build/mid?region=global&tier=emerald_plus,2026-04-05
Yasuo,yasuo,mid,16.07,emerald_plus,50.29,8.04,18.87,55021,https://op.gg/lol/champions/yasuo/build/mid?region=global&tier=emerald_plus,2026-04-05
Anivia,anivia,mid,16.07,emerald_plus,52.13,3.59,3.47,24653,https://op.gg/lol/champions/anivia/build/mid?region=global&tier=emerald_plus,2026-04-05
Vex,vex,mid,16.07,emerald_plus,51.95,3.22,3.54,22100,https://op.gg/lol/champions/vex/build/mid?region=global&tier=emerald_plus,2026-04-05
Zed,zed,mid,16.07,emerald_plus,50.06,6.74,23.28,46457,https://op.gg/lol/champions/zed/build/mid?region=global&tier=emerald_plus,2026-04-05
Aurelion Sol,aurelionsol,mid,16.07,emerald_plus,52.05,2.94,1.13,20079,https://op.gg/lol/champions/aurelionsol/build/mid?region=global&tier=emerald_plus,2026-04-05
Diana,diana,mid,16.07,emerald_plus,51.5,3.49,5.36,24043,https://op.gg/lol/champions/diana/build/mid?region=global&tier=emerald_plus,2026-04-05
Annie,annie,mid,16.07,emerald_plus,52.35,2.28,0.55,15545,https://op.gg/lol/champions/annie/build/mid?region=global&tier=emerald_plus,2026-04-05
Sylas,sylas,mid,16.07,emerald_plus,49.63,7.14,13.58,48948,https://op.gg/lol/champions/sylas/build/mid?region=global&tier=emerald_plus,2026-04-05
Lux,lux,mid,16.07,emerald_plus,51.06,3.77,3.03,25900,https://op.gg/lol/champions/lux/build/mid?region=global&tier=emerald_plus,2026-04-05
Sion,sion,mid,16.07,emerald_plus,53.44,1.1,1.05,7596,https://op.gg/lol/champions/sion/build/mid?region=global&tier=emerald_plus,2026-04-05
Akshan,akshan,mid,16.07,emerald_plus,51.66,2.74,2.96,18817,https://op.gg/lol/champions/akshan/build/mid?region=global&tier=emerald_plus,2026-04-05
Syndra,syndra,mid,16.07,emerald_plus,50.27,4.96,3.03,33859,https://op.gg/lol/champions/syndra/build/mid?region=global&tier=emerald_plus,2026-04-05
Ekko,ekko,mid,16.07,emerald_plus,51.06,2.94,2.75,20100,https://op.gg/lol/champions/ekko/build/mid?region=global&tier=emerald_plus,2026-04-05
LeBlanc,leblanc,mid,16.07,emerald_plus,50.1,4.39,15.57,30223,https://op.gg/lol/champions/leblanc/build/mid?region=global&tier=emerald_plus,2026-04-05
Zoe,zoe,mid,16.07,emerald_plus,50.44,3.55,6.47,24400,https://op.gg/lol/champions/zoe/build/mid?region=global&tier=emerald_plus,2026-04-05
Hwei,hwei,mid,16.07,emerald_plus,50.53,3.46,1.58,23622,https://op.gg/lol/champions/hwei/build/mid?region=global&tier=emerald_plus,2026-04-05
Vladimir,vladimir,mid,16.07,emerald_plus,50.61,3.07,4.38,20890,https://op.gg/lol/champions/vladimir/build/mid?region=global&tier=emerald_plus,2026-04-05
Mel,mel,mid,16.07,emerald_plus,48.34,6.26,35.5,42806,https://op.gg/lol/champions/mel/build/mid?region=global&tier=emerald_plus,2026-04-05
Naafiri,naafiri,mid,16.07,emerald_plus,50.79,2.04,17.08,14037,https://op.gg/lol/champions/naafiri/build/mid?region=global&tier=emerald_plus,2026-04-05
Swain,swain,mid,16.07,emerald_plus,52.1,1.18,2.57,8055,https://op.gg/lol/champions/swain/build/mid?region=global&tier=emerald_plus,2026-04-05
Aurora,aurora,mid,16.07,emerald_plus,49.63,3.82,2.62,26107,https://op.gg/lol/champions/aurora/build/mid?region=global&tier=emerald_plus,2026-04-05
Kassadin,kassadin,mid,16.07,emerald_plus,50.19,2.88,3.95,19634,https://op.gg/lol/champions/kassadin/build/mid?region=global&tier=emerald_plus,2026-04-05
Pantheon,pantheon,mid,16.07,emerald_plus,52.66,0.77,1.43,5330,https://op.gg/lol/champions/pantheon/build/mid?region=global&tier=emerald_plus,2026-04-05
Cassiopeia,cassiopeia,mid,16.07,emerald_plus,51.48,1.44,1.4,9904,https://op.gg/lol/champions/cassiopeia/build/mid?region=global&tier=emerald_plus,2026-04-05
Galio,galio,mid,16.07,emerald_plus,49.57,3.78,1.61,26031,https://op.gg/lol/champions/galio/build/mid?region=global&tier=emerald_plus,2026-04-05
Yone,yone,mid,16.07,emerald_plus,48.76,5.27,4.64,36054,https://op.gg/lol/champions/yone/build/mid?region=global&tier=emerald_plus,2026-04-05
Irelia,irelia,mid,16.07,emerald_plus,49.9,2.55,14.31,17452,https://op.gg/lol/champions/irelia/build/mid?region=global&tier=emerald_plus,2026-04-05
Kayle,kayle,mid,16.07,emerald_plus,52.88,0.56,4.25,3805,https://op.gg/lol/champions/kayle/build/mid?region=global&tier=emerald_plus,2026-04-05
Qiyana,qiyana,mid,16.07,emerald_plus,50.2,2.23,2.16,15266,https://op.gg/lol/champions/qiyana/build/mid?region=global&tier=emerald_plus,2026-04-05
Brand,brand,mid,16.07,emerald_plus,51.67,0.99,2.31,6891,https://op.gg/lol/champions/brand/build/mid?region=global&tier=emerald_plus,2026-04-05
Orianna,orianna,mid,16.07,emerald_plus,48.47,4.69,1.09,32316,https://op.gg/lol/champions/orianna/build/mid?region=global&tier=emerald_plus,2026-04-05
Morgana,morgana,mid,16.07,emerald_plus,52.27,0.54,14.1,3735,https://op.gg/lol/champions/morgana/build/mid?region=global&tier=emerald_plus,2026-04-05
Malphite,malphite,mid,16.07,emerald_plus,51.26,0.82,20.33,5661,https://op.gg/lol/champions/malphite/build/mid?region=global&tier=emerald_plus,2026-04-05
Nasus,nasus,mid,16.07,emerald_plus,51.92,0.71,5.05,4850,https://op.gg/lol/champions/nasus/build/mid?region=global&tier=emerald_plus,2026-04-05
Vel'Koz,velkoz,mid,16.07,emerald_plus,50.84,1.17,1.16,7991,https://op.gg/lol/champions/velkoz/build/mid?region=global&tier=emerald_plus,2026-04-05
Ziggs,ziggs,mid,16.07,emerald_plus,51.43,0.87,0.41,5972,https://op.gg/lol/champions/ziggs/build/mid?region=global&tier=emerald_plus,2026-04-05
Talon,talon,mid,16.07,emerald_plus,49.15,2.47,6.15,17094,https://op.gg/lol/champions/talon/build/mid?region=global&tier=emerald_plus,2026-04-05
Kog'Maw,kogmaw,mid,16.07,emerald_plus,52.27,0.51,0.55,3448,https://op.gg/lol/champions/kogmaw/build/mid?region=global&tier=emerald_plus,2026-04-05
Ryze,ryze,mid,16.07,emerald_plus,47.38,3.67,1.01,25198,https://op.gg/lol/champions/ryze/build/mid?region=global&tier=emerald_plus,2026-04-05
Jayce,jayce,mid,16.07,emerald_plus,50.24,0.75,4.73,5158,https://op.gg/lol/champions/jayce/build/mid?region=global&tier=emerald_plus,2026-04-05
Cho'Gath,chogath,mid,16.07,emerald_plus,50.57,0.57,0.61,3857,https://op.gg/lol/champions/chogath/build/mid?region=global&tier=emerald_plus,2026-04-05
Taliyah,taliyah,mid,16.07,emerald_plus,48.63,1.48,0.41,10279,https://op.gg/lol/champions/taliyah/build/mid?region=global&tier=emerald_plus,2026-04-05
Azir,azir,mid,16.07,emerald_plus,47.22,2.42,0.35,16595,https://op.gg/lol/champions/azir/build/mid?region=global&tier=emerald_plus,2026-04-05
Smolder,smolder,mid,16.07,emerald_plus,46.79,1.0,5.82,6866,https://op.gg/lol/champions/smolder/build/mid?region=global&tier=emerald_plus,2026-04-05
