champion_name,champion_name_normalized,lane,patch,elo,winrate,pickrate,banrate,total_games,source_url,extraction_date
Ahri,ahri,mid,16.11,diamond_plus,50.84,10.59,4.34,82913,https://op.gg/lol/champions/ahri/build/mid?region=global&tier=diamond_plus&patch=16.11,2026-06-08
Katarina,katarina,mid,16.11,diamond_plus,51.23,7.26,13.05,57161,https://op.gg/lol/champions/katarina/build/mid?region=global&tier=diamond_plus&patch=16.11,2026-06-08
Viktor,viktor,mid,16.11,diamond_plus,49.7,10.72,10.77,82560,https://op.gg/lol/champions/viktor/build/mid?region=global&tier=diamond_plus&patch=16.11,2026-06-08
Fizz,fizz,mid,16.11,diamond_plus,51.45,4.71,4.99,36967,https://op.gg/lol/champions/fizz/build/mid?region=global&tier=diamond_plus&patch=16.11,2026-06-08
Twisted Fate,twistedfate,mid,16.11,diamond_plus,50.99,5.85,1.52,44712,https://op.gg/lol/champions/twistedfate/build/mid?region=global&tier=diamond_plus&patch=16.11,2026-06-08
Vladimir,vladimir,mid,16.11,diamond_plus,51.16,5.01,8.05,39657,https://op.gg/lol/champions/vladimir/build/mid?region=global&tier=diamond_plus&patch=16.11,2026-06-08
Xerath,xerath,mid,16.11,diamond_plus,50.83,5.55,6.43,43006,https://op.gg/lol/champions/xerath/build/mid?region=global&tier=diamond_plus&patch=16.11,2026-06-08
Diana,diana,mid,16.11,diamond_plus,51.22,4.02,6.13,31514,https://op.gg/lol/champions/diana/build/mid?region=global&tier=diamond_plus&patch=16.11,2026-06-08
Zed,zed,mid,16.11,diamond_plus,49.64,7.46,27.74,58371,https://op.gg/lol/champions/zed/build/mid?region=global&tier=diamond_plus&patch=16.11,2026-06-08
Riven,riven,mid,16.11,diamond_plus,53.31,1.4,3.84,11259,https://op.gg/lol/champions/riven/build/mid?region=global&tier=diamond_plus&patch=16.11,2026-06-08
Lux,lux,mid,16.11,diamond_plus,50.94,3.59,1.76,28460,https://op.gg/lol/champions/lux/build/mid?region=global&tier=diamond_plus&patch=16.11,2026-06-08
Akali,akali,mid,16.11,diamond_plus,49.6,5.82,19.09,45542,https://op.gg/lol/champions/akali/build/mid?region=global&tier=diamond_plus&patch=16.11,2026-06-08
Zoe,zoe,mid,16.11,diamond_plus,50.83,3.43,7.75,26557,https://op.gg/lol/champions/zoe/build/mid?region=global&tier=diamond_plus&patch=16.11,2026-06-08
Lissandra,lissandra,mid,16.11,diamond_plus,50.11,4.92,2.91,38503,https://op.gg/lol/champions/lissandra/build/mid?region=global&tier=diamond_plus&patch=16.11,2026-06-08
Sylas,sylas,mid,16.11,diamond_plus,48.96,6.82,12.04,52885,https://op.gg/lol/champions/sylas/build/mid?region=global&tier=diamond_plus&patch=16.11,2026-06-08
