champion_name,champion_name_normalized,lane,patch,elo,winrate,pickrate,banrate,total_games,source_url,extraction_date
Viktor,viktor,mid,16.11,master_plus,49.31,10.87,10.74,31613,https://op.gg/lol/champions/viktor/build/mid?region=global&tier=master_plus&patch=16.11,2026-06-08
Ahri,ahri,mid,16.11,master_plus,51.0,10.31,4.07,30512,https://op.gg/lol/champions/ahri/build/mid?region=global&tier=master_plus&patch=16.11,2026-06-08
Zed,zed,mid,16.11,master_plus,50.02,7.29,26.16,21459,https://op.gg/lol/champions/zed/build/mid?region=global&tier=master_plus&patch=16.11,2026-06-08
Sylas,sylas,mid,16.11,master_plus,48.25,6.97,12.14,20551,https://op.gg/lol/champions/sylas/build/mid?region=global&tier=master_plus&patch=16.11,2026-06-08
Katarina,katarina,mid,16.11,master_plus,52.25,6.78,13.1,20193,https://op.gg/lol/champions/katarina/build/mid?region=global&tier=master_plus&patch=16.11,2026-06-08
Yasuo,yasuo,mid,16.11,master_plus,48.38,6.0,15.89,17883,https://op.gg/lol/champions/yasuo/build/mid?region=global&tier=master_plus&patch=16.11,2026-06-08
Akali,akali,mid,16.11,master_plus,49.55,5.58,18.99,16481,https://op.gg/lol/champions/akali/build/mid?region=global&tier=master_plus&patch=16.11,2026-06-08
Twisted Fate,twistedfate,mid,16.11,master_plus,50.68,6.41,1.83,18379,https://op.gg/lol/champions/twistedfate/build/mid?region=global&tier=master_plus&patch=16.11,2026-06-08
Yone,yone,mid,16.11,master_plus,47.81,5.33,3.94,15658,https://op.gg/lol/champions/yone/build/mid?region=global&tier=master_plus&patch=16.11,2026-06-08
Galio,galio,mid,16.11,master_plus,50.17,5.46,2.04,15997,https://op.gg/lol/champions/galio/build/mid?region=global&tier=master_plus&patch=16.11,2026-06-08
Xerath,xerath,mid,16.11,master_plus,50.35,5.1,4.8,14867,https://op.gg/lol/champions/xerath/build/mid?region=global&tier=master_plus&patch=16.11,2026-06-08
Ryze,ryze,mid,16.11,master_plus,48.87,5.12,1.39,15005,https://op.gg/lol/champions/ryze/build/mid?region=global&tier=master_plus&patch=16.11,2026-06-08
Lissandra,lissandra,mid,16.11,master_plus,50.41,4.97,2.46,14682,https://op.gg/lol/champions/lissandra/build/mid?region=global&tier=master_plus&patch=16.11,2026-06-08
Vladimir,vladimir,mid,16.11,master_plus,50.78,4.58,7.78,13913,https://op.gg/lol/champions/vladimir/build/mid?region=global&tier=master_plus&patch=16.11,2026-06-08
Orianna,orianna,mid,16.11,master_plus,48.1,4.6,1.99,13365,https://op.gg/lol/champions/orianna/build/mid?region=global&tier=master_plus&patch=16.11,2026-06-08
LeBlanc,leblanc,mid,16.11,master_plus,50.12,3.96,17.56,11606,https://op.gg/lol/champions/leblanc/build/mid?region=global&tier=master_plus&patch=16.11,2026-06-08
