champion_name,champion_name_normalized,lane,patch,elo,winrate,pickrate,banrate,total_games,source_url,extraction_date
Fizz,fizz,mid,16.11,plat_plus,52.02,6.27,9.38,211489,https://op.gg/lol/champions/fizz/build/mid?region=global&tier=platinum_plus&patch=16.11,2026-06-07
Xerath,xerath,mid,16.11,plat_plus,52.04,5.53,10.35,184849,https://op.gg/lol/champions/xerath/build/mid?region=global&tier=platinum_plus&patch=16.11,2026-06-07
Ahri,ahri,mid,16.11,plat_plus,50.86,10.02,4.25,337434,https://op.gg/lol/champions/ahri/build/mid?region=global&tier=platinum_plus&patch=16.11,2026-06-07
Malzahar,malzahar,mid,16.11,plat_plus,50.82,7.46,13.69,252694,https://op.gg/lol/champions/malzahar/build/mid?region=global&tier=platinum_plus&patch=16.11,2026-06-07
Vladimir,vladimir,mid,16.11,plat_plus,51.64,4.86,6.08,164817,https://op.gg/lol/champions/vladimir/build/mid?region=global&tier=platinum_plus&patch=16.11,2026-06-07
Viktor,viktor,mid,16.11,plat_plus,50.2,9.63,9.3,318227,https://op.gg/lol/champions/viktor/build/mid?region=global&tier=platinum_plus&patch=16.11,2026-06-07
Diana,diana,mid,16.11,plat_plus,51.57,4.6,6.89,156174,https://op.gg/lol/champions/diana/build/mid?region=global&tier=platinum_plus&patch=16.11,2026-06-07
Lux,lux,mid,16.11,plat_plus,51.36,4.39,5.37,149839,https://op.gg/lol/champions/lux/build/mid?region=global&tier=platinum_plus&patch=16.11,2026-06-07
Katarina,katarina,mid,16.11,plat_plus,50.32,7.24,10.17,245533,https://op.gg/lol/champions/katarina/build/mid?region=global&tier=platinum_plus&patch=16.11,2026-06-07
Naafiri,naafiri,mid,16.11,plat_plus,51.6,2.78,31.02,93791,https://op.gg/lol/champions/naafiri/build/mid?region=global&tier=platinum_plus&patch=16.11,2026-06-07
Xin Zhao,xinzhao,mid,16.11,plat_plus,52.76,1.8,8.31,61821,https://op.gg/lol/champions/xinzhao/build/mid?region=global&tier=platinum_plus&patch=16.11,2026-06-07
Zed,zed,mid,16.11,plat_plus,49.56,7.7,27.22,260030,https://op.gg/lol/champions/zed/build/mid?region=global&tier=platinum_plus&patch=16.11,2026-06-07
Lissandra,lissandra,mid,16.11,plat_plus,50.86,4.58,2.84,154652,https://op.gg/lol/champions/lissandra/build/mid?region=global&tier=platinum_plus&patch=16.11,2026-06-07
Veigar,veigar,mid,16.11,plat_plus,50.96,4.21,1.48,144404,https://op.gg/lol/champions/veigar/build/mid?region=global&tier=platinum_plus&patch=16.11,2026-06-07
Vex,vex,mid,16.11,plat_plus,51.77,2.74,3.21,92430,https://op.gg/lol/champions/vex/build/mid?region=global&tier=platinum_plus&patch=16.11,2026-06-07
Twisted Fate,twistedfate,mid,16.11,plat_plus,50.42,4.98,0.98,163683,https://op.gg/lol/champions/twistedfate/build/mid?region=global&tier=platinum_plus&patch=16.11,2026-06-07
Akali,akali,mid,16.11,plat_plus,49.56,6.23,17.98,210056,https://op.gg/lol/champions/akali/build/mid?region=global&tier=platinum_plus&patch=16.11,2026-06-07
Yasuo,yasuo,mid,16.11,plat_plus,48.69,7.72,17.5,262033,https://op.gg/lol/champions/yasuo/build/mid?region=global&tier=platinum_plus&patch=16.11,2026-06-07
Ekko,ekko,mid,16.11,plat_plus,50.77,3.17,1.96,107907,https://op.gg/lol/champions/ekko/build/mid?region=global&tier=platinum_plus&patch=16.11,2026-06-07
Yone,yone,mid,16.11,plat_plus,49.12,6.06,6.65,202673,https://op.gg/lol/champions/yone/build/mid?region=global&tier=platinum_plus&patch=16.11,2026-06-07
Sylas,sylas,mid,16.11,plat_plus,48.83,6.48,11.16,216247,https://op.gg/lol/champions/sylas/build/mid?region=global&tier=platinum_plus&patch=16.11,2026-06-07
Annie,annie,mid,16.11,plat_plus,50.78,2.74,0.82,91782,https://op.gg/lol/champions/annie/build/mid?region=global&tier=platinum_plus&patch=16.11,2026-06-07
Galio,galio,mid,16.11,plat_plus,49.61,4.03,1.51,134825,https://op.gg/lol/champions/galio/build/mid?region=global&tier=platinum_plus&patch=16.11,2026-06-07
Anivia,anivia,mid,16.11,plat_plus,49.94,3.02,3.67,101440,https://op.gg/lol/champions/anivia/build/mid?region=global&tier=platinum_plus&patch=16.11,2026-06-07
Hwei,hwei,mid,16.11,plat_plus,49.72,3.37,1.56,113123,https://op.gg/lol/champions/hwei/build/mid?region=global&tier=platinum_plus&patch=16.11,2026-06-07
Syndra,syndra,mid,16.11,plat_plus,49.28,3.91,2.26,131999,https://op.gg/lol/champions/syndra/build/mid?region=global&tier=platinum_plus&patch=16.11,2026-06-07
Zoe,zoe,mid,16.11,plat_plus,49.84,2.88,4.23,96575,https://op.gg/lol/champions/zoe/build/mid?region=global&tier=platinum_plus&patch=16.11,2026-06-07
Sion,sion,mid,16.11,plat_plus,52.09,0.92,1.42,30393,https://op.gg/lol/champions/sion/build/mid?region=global&tier=platinum_plus&patch=16.11,2026-06-07
LeBlanc,leblanc,mid,16.11,plat_plus,49.06,3.86,13.13,129216,https://op.gg/lol/champions/leblanc/build/mid?region=global&tier=platinum_plus&patch=16.11,2026-06-07
Vel'Koz,velkoz,mid,16.11,plat_plus,51.15,1.45,1.61,49642,https://op.gg/lol/champions/velkoz/build/mid?region=global&tier=platinum_plus&patch=16.11,2026-06-07
Irelia,irelia,mid,16.11,plat_plus,49.65,2.72,13.55,91545,https://op.gg/lol/champions/irelia/build/mid?region=global&tier=platinum_plus&patch=16.11,2026-06-07
Riven,riven,mid,16.11,plat_plus,51.57,1.09,1.98,37581,https://op.gg/lol/champions/riven/build/mid?region=global&tier=platinum_plus&patch=16.11,2026-06-07
Brand,brand,mid,16.11,plat_plus,50.57,1.53,12.2,51591,https://op.gg/lol/champions/brand/build/mid?region=global&tier=platinum_plus&patch=16.11,2026-06-07
Aurora,aurora,mid,16.11,plat_plus,49.63,2.78,2.06,93337,https://op.gg/lol/champions/aurora/build/mid?region=global&tier=platinum_plus&patch=16.11,2026-06-07
Aurelion Sol,aurelionsol,mid,16.11,plat_plus,50.18,1.95,0.79,65764,https://op.gg/lol/champions/aurelionsol/build/mid?region=global&tier=platinum_plus&patch=16.11,2026-06-07
Talon,talon,mid,16.11,plat_plus,49.67,2.33,6.54,76939,https://op.gg/lol/champions/talon/build/mid?region=global&tier=platinum_plus&patch=16.11,2026-06-07
Kassadin,kassadin,mid,16.11,plat_plus,49.58,2.52,2.1,84619,https://op.gg/lol/champions/kassadin/build/mid?region=global&tier=platinum_plus&patch=16.11,2026-06-07
Akshan,akshan,mid,16.11,plat_plus,49.7,2.29,2.12,77253,https://op.gg/lol/champions/akshan/build/mid?region=global&tier=platinum_plus&patch=16.11,2026-06-07
Swain,swain,mid,16.11,plat_plus,51.72,0.79,2.65,26711,https://op.gg/lol/champions/swain/build/mid?region=global&tier=platinum_plus&patch=16.11,2026-06-07
Pantheon,pantheon,mid,16.11,plat_plus,51.02,0.97,2.05,32622,https://op.gg/lol/champions/pantheon/build/mid?region=global&tier=platinum_plus&patch=16.11,2026-06-07
Cassiopeia,cassiopeia,mid,16.11,plat_plus,49.97,1.68,1.58,55974,https://op.gg/lol/champions/cassiopeia/build/mid?region=global&tier=platinum_plus&patch=16.11,2026-06-07
Malphite,malphite,mid,16.11,plat_plus,50.58,0.96,18.96,31858,https://op.gg/lol/champions/malphite/build/mid?region=global&tier=platinum_plus&patch=16.11,2026-06-07
Ryze,ryze,mid,16.11,plat_plus,48.42,3.41,0.78,114217,https://op.gg/lol/champions/ryze/build/mid?region=global&tier=platinum_plus&patch=16.11,2026-06-07
Qiyana,qiyana,mid,16.11,plat_plus,49.39,2.02,1.3,68082,https://op.gg/lol/champions/qiyana/build/mid?region=global&tier=platinum_plus&patch=16.11,2026-06-07
Kayle,kayle,mid,16.11,plat_plus,51.9,0.51,2.6,17258,https://op.gg/lol/champions/kayle/build/mid?region=global&tier=platinum_plus&patch=16.11,2026-06-07
Gwen,gwen,mid,16.11,plat_plus,51.53,0.51,2.19,17652,https://op.gg/lol/champions/gwen/build/mid?region=global&tier=platinum_plus&patch=16.11,2026-06-07
Orianna,orianna,mid,16.11,plat_plus,47.54,3.45,0.76,114289,https://op.gg/lol/champions/orianna/build/mid?region=global&tier=platinum_plus&patch=16.11,2026-06-07
Ziggs,ziggs,mid,16.11,plat_plus,50.12,0.87,0.55,29201,https://op.gg/lol/champions/ziggs/build/mid?region=global&tier=platinum_plus&patch=16.11,2026-06-07
Cho'Gath,chogath,mid,16.11,plat_plus,50.56,0.61,0.7,20558,https://op.gg/lol/champions/chogath/build/mid?region=global&tier=platinum_plus&patch=16.11,2026-06-07
Jayce,jayce,mid,16.11,plat_plus,49.72,0.76,4.49,25204,https://op.gg/lol/champions/jayce/build/mid?region=global&tier=platinum_plus&patch=16.11,2026-06-07
