champion_i,champion_i_normalized,champion_j,champion_j_normalized,lane,patch,elo,matchup_winrate_i_vs_j,matchup_games,matchup_occurrence_count,matchup_occurrence_rate,source_url,extraction_date
Ahri,ahri,Sylas,sylas,mid,16.07,emerald_plus,50.03,3714,3714,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=emerald_plus&type=ranked&target_champion=sylas,2026-04-05
Ahri,ahri,Mel,mel,mid,16.07,emerald_plus,48.82,3177,3177,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=emerald_plus&type=ranked&target_champion=mel,2026-04-05
Ahri,ahri,Viktor,viktor,mid,16.07,emerald_plus,49.14,3036,3036,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=emerald_plus&type=ranked&target_champion=viktor,2026-04-05
Ahri,ahri,Yasuo,yasuo,mid,16.07,emerald_plus,49.33,2372,2372,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=emerald_plus&type=ranked&target_champion=yasuo,2026-04-05
Ahri,ahri,Zed,zed,mid,16.07,emerald_plus,49.32,2277,2277,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=emerald_plus&type=ranked&target_champion=zed,2026-04-05
Ahri,ahri,Katarina,katarina,mid,16.07,emerald_plus,48.85,2266,2266,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=emerald_plus&type=ranked&target_champion=katarina,2026-04-05
Ahri,ahri,Xerath,xerath,mid,16.07,emerald_plus,51.57,2040,2040,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=emerald_plus&type=ranked&target_champion=xerath,2026-04-05
Ahri,ahri,Akali,akali,mid,16.07,emerald_plus,51.41,1984,1984,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=emerald_plus&type=ranked&target_champion=akali,2026-04-05
Ahri,ahri,Syndra,syndra,mid,16.07,emerald_plus,51.24,1983,1983,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=emerald_plus&type=ranked&target_champion=syndra,2026-04-05
Ahri,ahri,Lissandra,lissandra,mid,16.07,emerald_plus,50.76,1982,1982,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=emerald_plus&type=ranked&target_champion=lissandra,2026-04-05
Ahri,ahri,Malzahar,malzahar,mid,16.07,emerald_plus,50.63,1969,1969,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=emerald_plus&type=ranked&target_champion=malzahar,2026-04-05
Ahri,ahri,Orianna,orianna,mid,16.07,emerald_plus,53.41,1921,1921,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=emerald_plus&type=ranked&target_champion=orianna,2026-04-05
Ahri,ahri,Twisted Fate,twistedfate,mid,16.07,emerald_plus,51.98,1743,1743,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=emerald_plus&type=ranked&target_champion=twistedfate,2026-04-05
Ahri,ahri,LeBlanc,leblanc,mid,16.07,emerald_plus,49.64,1680,1680,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=emerald_plus&type=ranked&target_champion=leblanc,2026-04-05
