champion_i,champion_i_normalized,champion_j,champion_j_normalized,lane,patch,elo,matchup_winrate_i_vs_j,matchup_games,matchup_occurrence_count,matchup_occurrence_rate,source_url,extraction_date
Ahri,ahri,Viktor,viktor,mid,16.10,diamond_plus,52.55,5106,5106,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=diamond_plus&type=ranked&patch=16.10&target_champion=viktor,2026-06-08
Ahri,ahri,Sylas,sylas,mid,16.10,diamond_plus,50.42,5079,5079,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=diamond_plus&type=ranked&patch=16.10&target_champion=sylas,2026-06-08
Ahri,ahri,Zed,zed,mid,16.10,diamond_plus,49.65,4010,4010,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=diamond_plus&type=ranked&patch=16.10&target_champion=zed,2026-06-08
Ahri,ahri,Katarina,katarina,mid,16.10,diamond_plus,47.97,3350,3350,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=diamond_plus&type=ranked&patch=16.10&target_champion=katarina,2026-06-08
Ahri,ahri,Twisted Fate,twistedfate,mid,16.10,diamond_plus,48.88,2823,2823,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=diamond_plus&type=ranked&patch=16.10&target_champion=twistedfate,2026-06-08
Ahri,ahri,Akali,akali,mid,16.10,diamond_plus,53.81,2784,2784,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=diamond_plus&type=ranked&patch=16.10&target_champion=akali,2026-06-08
Ahri,ahri,Xerath,xerath,mid,16.10,diamond_plus,50.05,2765,2765,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=diamond_plus&type=ranked&patch=16.10&target_champion=xerath,2026-06-08
Ahri,ahri,Lissandra,lissandra,mid,16.10,diamond_plus,49.85,2758,2758,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=diamond_plus&type=ranked&patch=16.10&target_champion=lissandra,2026-06-08
Ahri,ahri,Yasuo,yasuo,mid,16.10,diamond_plus,49.65,2701,2701,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=diamond_plus&type=ranked&patch=16.10&target_champion=yasuo,2026-06-08
Ahri,ahri,Mel,mel,mid,16.10,diamond_plus,50.63,2639,2639,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=diamond_plus&type=ranked&patch=16.10&target_champion=mel,2026-06-08
