champion_i,champion_i_normalized,champion_j,champion_j_normalized,lane,patch,elo,matchup_winrate_i_vs_j,matchup_games,matchup_occurrence_count,matchup_occurrence_rate,source_url,extraction_date
Ahri,ahri,Viktor,viktor,mid,16.10,emerald_plus,51.38,11954,11954,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=viktor,2026-06-08
Ahri,ahri,Sylas,sylas,mid,16.10,emerald_plus,51.14,11063,11063,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=sylas,2026-06-08
Ahri,ahri,Zed,zed,mid,16.10,emerald_plus,49.29,9805,9805,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=zed,2026-06-08
Ahri,ahri,Katarina,katarina,mid,16.10,emerald_plus,48.48,8136,8136,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=katarina,2026-06-08
Ahri,ahri,Malzahar,malzahar,mid,16.10,emerald_plus,52.39,7566,7566,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=malzahar,2026-06-08
Ahri,ahri,Akali,akali,mid,16.10,emerald_plus,53.55,7143,7143,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=akali,2026-06-08
Ahri,ahri,Yasuo,yasuo,mid,16.10,emerald_plus,50.38,7094,7094,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=yasuo,2026-06-08
Ahri,ahri,Xerath,xerath,mid,16.10,emerald_plus,49.59,6764,6764,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=xerath,2026-06-08
Ahri,ahri,Twisted Fate,twistedfate,mid,16.10,emerald_plus,48.97,6375,6375,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=twistedfate,2026-06-08
Ahri,ahri,Lissandra,lissandra,mid,16.10,emerald_plus,49.5,6374,6374,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=lissandra,2026-06-08
