champion_i,champion_i_normalized,champion_j,champion_j_normalized,lane,patch,elo,matchup_winrate_i_vs_j,matchup_games,matchup_occurrence_count,matchup_occurrence_rate,source_url,extraction_date
Viktor,viktor,Ahri,ahri,mid,16.10,master_plus,44.72,1675,1675,,https://op.gg/lol/champions/viktor/counters/mid?region=global&tier=master_plus&type=ranked&patch=16.10&target_champion=ahri,2026-06-08
Viktor,viktor,Xerath,xerath,mid,16.10,master_plus,45.26,1445,1445,,https://op.gg/lol/champions/viktor/counters/mid?region=global&tier=master_plus&type=ranked&patch=16.10&target_champion=xerath,2026-06-08
Viktor,viktor,Akali,akali,mid,16.10,master_plus,48.56,1427,1427,,https://op.gg/lol/champions/viktor/counters/mid?region=global&tier=master_plus&type=ranked&patch=16.10&target_champion=akali,2026-06-08
Viktor,viktor,Orianna,orianna,mid,16.10,master_plus,49.11,1293,1293,,https://op.gg/lol/champions/viktor/counters/mid?region=global&tier=master_plus&type=ranked&patch=16.10&target_champion=orianna,2026-06-08
Viktor,viktor,Twisted Fate,twistedfate,mid,16.10,master_plus,45.12,1219,1219,,https://op.gg/lol/champions/viktor/counters/mid?region=global&tier=master_plus&type=ranked&patch=16.10&target_champion=twistedfate,2026-06-08
Viktor,viktor,Sylas,sylas,mid,16.10,master_plus,48.4,1219,1219,,https://op.gg/lol/champions/viktor/counters/mid?region=global&tier=master_plus&type=ranked&patch=16.10&target_champion=sylas,2026-06-08
Viktor,viktor,Zed,zed,mid,16.10,master_plus,48.35,1063,1063,,https://op.gg/lol/champions/viktor/counters/mid?region=global&tier=master_plus&type=ranked&patch=16.10&target_champion=zed,2026-06-08
Viktor,viktor,Ryze,ryze,mid,16.10,master_plus,48.66,1046,1046,,https://op.gg/lol/champions/viktor/counters/mid?region=global&tier=master_plus&type=ranked&patch=16.10&target_champion=ryze,2026-06-08
Viktor,viktor,Yone,yone,mid,16.10,master_plus,48.14,1022,1022,,https://op.gg/lol/champions/viktor/counters/mid?region=global&tier=master_plus&type=ranked&patch=16.10&target_champion=yone,2026-06-08
Viktor,viktor,Katarina,katarina,mid,16.10,master_plus,47.35,980,980,,https://op.gg/lol/champions/viktor/counters/mid?region=global&tier=master_plus&type=ranked&patch=16.10&target_champion=katarina,2026-06-08
