champion_i,champion_i_normalized,champion_j,champion_j_normalized,lane,patch,elo,matchup_winrate_i_vs_j,matchup_games,matchup_occurrence_count,matchup_occurrence_rate,source_url,extraction_date
Malzahar,malzahar,Ahri,ahri,mid,16.07,plat_plus,49.72,6523,6523,,https://op.gg/lol/champions/malzahar/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.07&target_champion=ahri,2026-04-07
Malzahar,malzahar,Yasuo,yasuo,mid,16.07,plat_plus,54.75,5443,5443,,https://op.gg/lol/champions/malzahar/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.07&target_champion=yasuo,2026-04-07
Malzahar,malzahar,Viktor,viktor,mid,16.07,plat_plus,49.47,4562,4562,,https://op.gg/lol/champions/malzahar/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.07&target_champion=viktor,2026-04-07
Malzahar,malzahar,Mel,mel,mid,16.07,plat_plus,54.46,4234,4234,,https://op.gg/lol/champions/malzahar/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.07&target_champion=mel,2026-04-07
Malzahar,malzahar,Katarina,katarina,mid,16.07,plat_plus,49.87,3924,3924,,https://op.gg/lol/champions/malzahar/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.07&target_champion=katarina,2026-04-07
Malzahar,malzahar,Zed,zed,mid,16.07,plat_plus,51.81,3903,3903,,https://op.gg/lol/champions/malzahar/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.07&target_champion=zed,2026-04-07
Malzahar,malzahar,Xerath,xerath,mid,16.07,plat_plus,48.48,3837,3837,,https://op.gg/lol/champions/malzahar/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.07&target_champion=xerath,2026-04-07
Malzahar,malzahar,Smolder,smolder,mid,16.07,plat_plus,49.88,3743,3743,,https://op.gg/lol/champions/malzahar/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.07&target_champion=smolder,2026-04-07
Malzahar,malzahar,Akali,akali,mid,16.07,plat_plus,52.55,3465,3465,,https://op.gg/lol/champions/malzahar/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.07&target_champion=akali,2026-04-07
Malzahar,malzahar,Sylas,sylas,mid,16.07,plat_plus,54.68,3433,3433,,https://op.gg/lol/champions/malzahar/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.07&target_champion=sylas,2026-04-07
Malzahar,malzahar,Twisted Fate,twistedfate,mid,16.07,plat_plus,49.22,3283,3283,,https://op.gg/lol/champions/malzahar/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.07&target_champion=twistedfate,2026-04-07
Malzahar,malzahar,Veigar,veigar,mid,16.07,plat_plus,49.52,3239,3239,,https://op.gg/lol/champions/malzahar/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.07&target_champion=veigar,2026-04-07
Malzahar,malzahar,LeBlanc,leblanc,mid,16.07,plat_plus,55.59,3015,3015,,https://op.gg/lol/champions/malzahar/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.07&target_champion=leblanc,2026-04-07
Malzahar,malzahar,Yone,yone,mid,16.07,plat_plus,50.03,2930,2930,,https://op.gg/lol/champions/malzahar/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.07&target_champion=yone,2026-04-07
Malzahar,malzahar,Lux,lux,mid,16.07,plat_plus,48.53,2891,2891,,https://op.gg/lol/champions/malzahar/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.07&target_champion=lux,2026-04-07
Malzahar,malzahar,Fizz,fizz,mid,16.07,plat_plus,47.4,2844,2844,,https://op.gg/lol/champions/malzahar/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.07&target_champion=fizz,2026-04-07
Malzahar,malzahar,Syndra,syndra,mid,16.07,plat_plus,51.5,2839,2839,,https://op.gg/lol/champions/malzahar/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.07&target_champion=syndra,2026-04-07
Malzahar,malzahar,Lissandra,lissandra,mid,16.07,plat_plus,50.04,2612,2612,,https://op.gg/lol/champions/malzahar/counters/mid?region=global&tier=platinum_plus&type=ranked&patch=16.07&target_champion=lissandra,2026-04-07
