champion_i,champion_i_normalized,champion_j,champion_j_normalized,lane,patch,elo,matchup_winrate_i_vs_j,matchup_games,matchup_occurrence_count,matchup_occurrence_rate,source_url,extraction_date
Ahri,ahri,Sylas,sylas,mid,16.05,plat_plus,51.88,17164,17164,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=sylas,2026-03-13
Ahri,ahri,Mel,mel,mid,16.05,plat_plus,48.28,16227,16227,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=mel,2026-03-13
Ahri,ahri,Yasuo,yasuo,mid,16.05,plat_plus,50.5,14329,14329,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=yasuo,2026-03-13
Ahri,ahri,Viktor,viktor,mid,16.05,plat_plus,51.43,13990,13990,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=viktor,2026-03-13
Ahri,ahri,Zed,zed,mid,16.05,plat_plus,50.31,11919,11919,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=zed,2026-03-13
Ahri,ahri,Malzahar,malzahar,mid,16.05,plat_plus,52.13,11670,11670,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=malzahar,2026-03-13
Ahri,ahri,Katarina,katarina,mid,16.05,plat_plus,50.52,11116,11116,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=katarina,2026-03-13
Ahri,ahri,Akali,akali,mid,16.05,plat_plus,52.44,10824,10824,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=akali,2026-03-13
Ahri,ahri,Veigar,veigar,mid,16.05,plat_plus,48.3,10576,10576,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=veigar,2026-03-13
Ahri,ahri,Syndra,syndra,mid,16.05,plat_plus,52.06,9739,9739,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=syndra,2026-03-13
Ahri,ahri,Yone,yone,mid,16.05,plat_plus,55.46,9448,9448,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=yone,2026-03-13
Ahri,ahri,Xerath,xerath,mid,16.05,plat_plus,50.64,9175,9175,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=xerath,2026-03-13
Ahri,ahri,Twisted Fate,twistedfate,mid,16.05,plat_plus,51.24,9059,9059,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=twistedfate,2026-03-13
Ahri,ahri,Orianna,orianna,mid,16.05,plat_plus,54.66,8769,8769,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=orianna,2026-03-13
Ahri,ahri,LeBlanc,leblanc,mid,16.05,plat_plus,51.51,8499,8499,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=leblanc,2026-03-13
Ahri,ahri,Lux,lux,mid,16.05,plat_plus,51.69,8110,8110,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=lux,2026-03-13
Ahri,ahri,Fizz,fizz,mid,16.05,plat_plus,50.74,7292,7292,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=fizz,2026-03-13
Ahri,ahri,Aurora,aurora,mid,16.05,plat_plus,52.08,7030,7030,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=aurora,2026-03-13
Ahri,ahri,Diana,diana,mid,16.05,plat_plus,50.46,6893,6893,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=diana,2026-03-13
Ahri,ahri,Zoe,zoe,mid,16.05,plat_plus,49.29,6634,6634,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=zoe,2026-03-13
Ahri,ahri,Ryze,ryze,mid,16.05,plat_plus,54.74,6597,6597,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=ryze,2026-03-13
Ahri,ahri,Galio,galio,mid,16.05,plat_plus,55.52,6281,6281,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=galio,2026-03-13
Ahri,ahri,Anivia,anivia,mid,16.05,plat_plus,50.91,5836,5836,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=anivia,2026-03-13
Ahri,ahri,Hwei,hwei,mid,16.05,plat_plus,52.84,5712,5712,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=hwei,2026-03-13
Ahri,ahri,Vex,vex,mid,16.05,plat_plus,49.67,5643,5643,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=vex,2026-03-13
Ahri,ahri,Annie,annie,mid,16.05,plat_plus,50.16,5391,5391,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=annie,2026-03-13
Ahri,ahri,Lissandra,lissandra,mid,16.05,plat_plus,51.7,5244,5244,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=lissandra,2026-03-13
Ahri,ahri,Ekko,ekko,mid,16.05,plat_plus,52.33,4972,4972,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=ekko,2026-03-13
Ahri,ahri,Aurelion Sol,aurelionsol,mid,16.05,plat_plus,52.57,4904,4904,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=aurelionsol,2026-03-13
Ahri,ahri,Kassadin,kassadin,mid,16.05,plat_plus,49.97,4861,4861,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=kassadin,2026-03-13
Ahri,ahri,Akshan,akshan,mid,16.05,plat_plus,49.91,4755,4755,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=akshan,2026-03-13
Ahri,ahri,Vladimir,vladimir,mid,16.05,plat_plus,52.0,4485,4485,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=vladimir,2026-03-13
Ahri,ahri,Irelia,irelia,mid,16.05,plat_plus,50.85,4234,4234,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=irelia,2026-03-13
Ahri,ahri,Naafiri,naafiri,mid,16.05,plat_plus,50.7,4170,4170,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=naafiri,2026-03-13
Ahri,ahri,Qiyana,qiyana,mid,16.05,plat_plus,50.59,3714,3714,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=qiyana,2026-03-13
Ahri,ahri,Taliyah,taliyah,mid,16.05,plat_plus,53.88,3445,3445,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=taliyah,2026-03-13
Ahri,ahri,Talon,talon,mid,16.05,plat_plus,50.98,3333,3333,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=talon,2026-03-13
Ahri,ahri,Azir,azir,mid,16.05,plat_plus,60.68,3138,3138,,https://op.gg/lol/champions/ahri/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=azir,2026-03-13
