champion_name,champion_name_normalized,lane,patch,rank,population_scope_pickrate,population_scope_depth,pick_rate,breadth,depth,classification,unique_players,total_ranked_games,source_url,extraction_date
Ahri,ahri,mid,16.6,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,13.13,2.8,1.01,popular,395128,894190,https://lolalytics.com/lol/ahri/build/?lane=middle&tier=platinum_plus,2026-03-18
Rumble,rumble,mid,16.6,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.16,0.47,0.89,unpopular,75103,149491,https://lolalytics.com/lol/rumble/build/?lane=middle&tier=platinum_plus,2026-03-18
Riven,riven,mid,16.6,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.18,0.64,1.2,niche,76036,203443,https://lolalytics.com/lol/riven/build/?lane=middle&tier=platinum_plus,2026-03-18
Xerath,xerath,mid,16.6,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,6.36,1.65,1.03,popular,227835,525732,https://lolalytics.com/lol/xerath/build/?lane=middle&tier=platinum_plus,2026-03-18
Singed,singed,mid,16.6,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,1.17,0.58,1.26,niche,66236,186300,https://lolalytics.com/lol/singed/build/?lane=middle&tier=platinum_plus,2026-03-18
Aurelion Sol,aurelionsol,mid,16.6,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,2.89,0.79,1.32,niche,85760,253572,https://lolalytics.com/lol/aurelionsol/build/?lane=middle&tier=platinum_plus,2026-03-18
Vladimir,vladimir,mid,16.6,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,2.41,0.7,1.07,niche,93702,224648,https://lolalytics.com/lol/vladimir/build/?lane=middle&tier=platinum_plus,2026-03-18
Lissandra,lissandra,mid,16.6,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,3.66,0.61,0.88,unpopular,98897,194576,https://lolalytics.com/lol/lissandra/build/?lane=middle&tier=platinum_plus,2026-03-18
Anivia,anivia,mid,16.6,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,2.93,0.68,1.11,niche,88128,218035,https://lolalytics.com/lol/anivia/build/?lane=middle&tier=platinum_plus,2026-03-18
Naafiri,naafiri,mid,16.6,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,2.45,1.45,1.15,popular,180596,463153,https://lolalytics.com/lol/naafiri/build/?lane=middle&tier=platinum_plus,2026-03-18
Diana,diana,mid,16.6,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,3.69,2.11,1.11,popular,271872,671980,https://lolalytics.com/lol/diana/build/?lane=middle&tier=platinum_plus,2026-03-18
Lux,lux,mid,16.6,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,3.69,3.45,1.09,popular,452968,1102336,https://lolalytics.com/lol/lux/build/?lane=middle&tier=platinum_plus,2026-03-18
