champion_i,champion_j,games_ij,wins_i,winrate_ij
Ahri,Ahri,1200,600,0.500
Ahri,Syndra,980,470,0.480
Ahri,Orianna,1100,583,0.530
Ahri,Viktor,1020,520,0.510
Ahri,Yone,950,532,0.560
Syndra,Ahri,1150,598,0.520
Syndra,Syndra,990,495,0.500
Syndra,Orianna,1050,494,0.470
Syndra,Viktor,970,534,0.550
Syndra,Yone,940,461,0.490
Orianna,Ahri,1180,578,0.490
Orianna,Syndra,1010,545,0.540
Orianna,Orianna,1080,540,0.500
Orianna,Viktor,995,517,0.520
Orianna,Yone,930,446,0.480
Viktor,Ahri,1110,522,0.470
Viktor,Syndra,1005,513,0.510
Viktor,Orianna,1095,602,0.550
Viktor,Viktor,1000,500,0.500
Viktor,Yone,910,419,0.460
Yone,Ahri,1135,658,0.580
Yone,Syndra,985,443,0.450
Yone,Orianna,1075,495,0.460
Yone,Viktor,960,518,0.540
Yone,Yone,920,460,0.500
