"champion_j","enemy_total_games","f_j"
"Ahri",314308,0.0768338512091551
"Yasuo",197733,0.048336624906588
"Malzahar",158607,0.0387721172821896
"Viktor",157328,0.0384594606024471
"Zed",152673,0.0373215271824304
"Akali",146151,0.0357271981243533
"Katarina",146082,0.0357103307976119
"Sylas",145071,0.035463187792749
"Mel",136591,0.0333902177816336
"Yone",129381,0.0316277043641641
"Xerath",118864,0.0290567815331618
"Veigar",109953,0.0268784518434155
"Twisted Fate",106210,0.0259634604811979
"Fizz",104882,0.0256388255549289
"Syndra",103811,0.0253770153094213
"Lux",92952,0.0227224892067443
"LeBlanc",92501,0.0226122404478984
"Orianna",90470,0.0221157543520759
"Diana",87213,0.0213195676390803
"Galio",82223,0.0200997421254641
"Ryze",81925,0.0200268948302621
"Aurora",73774,0.0180343501886818
"Zoe",71951,0.0175887105270942
"Hwei",71042,0.0173665018313272
"Anivia",69980,0.0171068916719163
"Ekko",68964,0.0168585263969997
"Aurelion Sol",68797,0.0168177025772053
"Vex",67113,0.0164060420231112
"Lissandra",66221,0.0161879890455269
"Kassadin",64600,0.0157917290941097
"Vladimir",61795,0.0151060355939707
"Irelia",58469,0.0142929815542337
"Akshan",56295,0.0137615385348747
"Naafiri",55561,0.013582109290988
"Annie",49381,0.0120713835045856
"Qiyana",45559,0.0111370802755192
"Talon",40395,0.00987471976403343
"Azir",37630,0.00919880442432425
"Taliyah",36015,0.00880401119697151
"Vel'Koz",26265,0.00642058459221038
"Smolder",25829,0.00631400264352567
"Brand",23854,0.00583120597230483
"Cassiopeia",23807,0.00581971663379983
"Swain",20529,0.0050183963865786
"Malphite",20311,0.00496510541223624
"Ziggs",19194,0.00469205028223438
"Sion",18976,0.00463875930789203
"Pantheon",17993,0.00439846101532996
"Cho'Gath",14049,0.00343433439695273
"Kayle",13110,0.00320479208086343
"Jayce",13010,0.00318034667978896
"Nasus",11867,0.00290093574550773
"Morgana",11783,0.00288040160860517
"Kog'Maw",11701,0.0028603563797241
