patch,pool_size,enemy_champion,enemy_frequency,best_pool_champion_against_enemy,best_matchup_value
16.07,3,Ahri,0.06093079297319275,Viktor,0.5040472041568334
16.07,3,Yasuo,0.045108816274074745,Viktor,0.5333181902601726
16.07,3,Viktor,0.040172281082463436,Ahri,0.4959521305803779
16.07,3,Malzahar,0.03970587113499993,Viktor,0.5051857572899299
16.07,3,Sylas,0.03704798828017873,Viktor,0.5125777363464605
16.07,3,Zed,0.036655317600110135,Viktor,0.5008741052812229
16.07,3,Akali,0.03597168557431083,Syndra,0.5158662844155573
16.07,3,Mel,0.03565021142827884,Viktor,0.5560766539662085
16.07,3,Katarina,0.03539739108292474,Viktor,0.5257126448458452
16.07,3,Xerath,0.03158111155952013,Ahri,0.5027469893989219
16.07,3,Yone,0.02974961704619383,Ahri,0.5425221751537606
16.07,3,Lissandra,0.028149148020863525,Viktor,0.5126901968422269
16.07,3,Fizz,0.026836371112660223,Ahri,0.49228371453235026
16.07,3,Veigar,0.025786585483244723,Syndra,0.5028554921134922
16.07,3,Syndra,0.025510880537664624,Ahri,0.5128516837846487
