champion_i,champion_j,raw_winrate,shrinked_winrate,games,wins,shrinkage_amount,absolute_shrinkage
Taliyah,Malphite,0.72,0.5733160032376861,50.0,36.0,-0.14668399676231392,0.14668399676231392
Malphite,Taliyah,0.28,0.42664933657101933,50.0,14.000000000000002,0.1466493365710193,0.1466493365710193
Morgana,Pantheon,0.6765000000000001,0.544764182728753,34.0,23.001000000000005,-0.13173581727124706,0.13173581727124706
Pantheon,Morgana,0.3235,0.45519701854964856,34.0,10.999,0.13169701854964855,0.13169701854964855
Ziggs,Jayce,0.6591,0.5485958367059229,44.0,29.0004,-0.11050416329407708,0.11050416329407708
Jayce,Ziggs,0.34090000000000004,0.4513680589281452,44.0,14.999600000000001,0.11046805892814515,0.11046805892814515
Pantheon,Cho'Gath,0.6364,0.5338240638019015,33.0,21.001199999999997,-0.10257593619809846,0.10257593619809846
Cho'Gath,Pantheon,0.3636,0.46613684575678876,33.0,11.9988,0.10253684575678879,0.10253684575678879
Sion,Malphite,0.6552,0.5569556992762843,58.0,38.0016,-0.0982443007237157,0.0982443007237157
Malphite,Sion,0.3448,0.44301139547881585,58.0,19.9984,0.09821139547881585,0.09821139547881585
Sion,Pantheon,0.6579,0.5681693209412096,76.0,50.000400000000006,-0.0897306790587904,0.0897306790587904
Pantheon,Sion,0.3421,0.43180113912302787,76.0,25.9996,0.08970113912302785,0.08970113912302785
Jayce,Pantheon,0.6327,0.5436221509104222,49.0,31.0023,-0.08907784908957783,0.08907784908957783
Pantheon,Jayce,0.36729999999999996,0.4563429562795496,49.0,17.9977,0.08904295627954967,0.08904295627954967
Brand,Sion,0.6470999999999999,0.5595250028907911,68.0,44.00279999999999,-0.0875749971092088,0.0875749971092088
Sion,Brand,0.3529,0.44044405050983876,68.0,23.9972,0.08754405050983877,0.08754405050983877
Swain,Nasus,0.6225999999999999,0.5424522907559013,53.0,32.9978,-0.08014770924409864,0.08014770924409864
Nasus,Swain,0.3774,0.4575137286643981,53.0,20.002200000000002,0.08011372866439809,0.08011372866439809
Vel'Koz,Smolder,0.6429,0.5652228287263745,84.0,54.003600000000006,-0.0776771712736255,0.0776771712736255
Smolder,Vel'Koz,0.35710000000000003,0.43474891568289625,84.0,29.9964,0.07764891568289622,0.07764891568289622
Brand,Taliyah,0.6437,0.5668411790676626,87.0,56.001900000000006,-0.07685882093233742,0.07685882093233742
Taliyah,Brand,0.3563,0.43313101863985515,87.0,30.9981,0.07683101863985514,0.07683101863985514
Sion,Jayce,0.6053000000000001,0.5289768151134269,38.0,23.001400000000004,-0.07632318488657319,0.07632318488657319
Jayce,Sion,0.3947,0.47098551076560075,38.0,14.9986,0.07628551076560075,0.07628551076560075
Ziggs,Taliyah,0.625,0.5523104679398425,72.0,45.0,-0.07268953206015749,0.07268953206015749
Taliyah,Ziggs,0.375,0.4476593051491448,72.0,27.0,0.07265930514914481,0.07265930514914481
Brand,Cho'Gath,0.614,0.5413719776156236,57.0,34.998,-0.07262802238437638,0.07262802238437638
Jayce,Smolder,0.614,0.5413719776156236,57.0,34.998,-0.07262802238437638,0.07262802238437638
Cho'Gath,Brand,0.38599999999999995,0.4585949075519293,57.0,22.002,0.07259490755192932,0.07259490755192932
Smolder,Jayce,0.38599999999999995,0.4585949075519293,57.0,22.002,0.07259490755192932,0.07259490755192932
Vel'Koz,Pantheon,0.6042000000000001,0.5337770303084657,48.0,29.001600000000003,-0.07042296969153439,0.07042296969153439
Pantheon,Vel'Koz,0.3958,0.4661878411192764,48.0,18.9984,0.07038784111927643,0.07038784111927643
Vel'Koz,Jayce,0.6,0.5310165550734683,45.0,27.0,-0.06898344492653163,0.06898344492653163
Jayce,Vel'Koz,0.4,0.4689475895562269,45.0,18.0,0.06894758955622687,0.06894758955622687
Vel'Koz,Nasus,0.5957,0.5305802754126048,47.0,27.9979,-0.06511972458739523,0.06511972458739523
Nasus,Vel'Koz,0.4043,0.4693843570452578,47.0,19.0021,0.06508435704525783,0.06508435704525783
Smolder,Brand,0.3846,0.44941685666097136,78.0,29.9988,0.06481685666097137,0.06481685666097137
Brand,Nasus,0.6032,0.5398711686236374,63.0,38.001599999999996,-0.06332883137636258,0.06332883137636258
Nasus,Brand,0.3968,0.4600969354948031,63.0,24.9984,0.06329693549480314,0.06329693549480314
Malphite,Pantheon,0.5932,0.5345672986519051,59.0,34.998799999999996,-0.05863270134809484,0.05863270134809484
Pantheon,Malphite,0.4068,0.46540000305442075,59.0,24.0012,0.05860000305442076,0.05860000305442076
Brand,Smolder,0.6026,0.5449449465486118,78.0,47.0028,-0.057655053451388216,0.057655053451388216
Morgana,Sion,0.5849,0.5293928136317183,53.0,30.999699999999997,-0.05550718636828167,0.05550718636828167
Sion,Morgana,0.41509999999999997,0.47057320578858103,53.0,22.0003,0.05547320578858106,0.05547320578858106
Cassiopeia,Smolder,0.5949,0.5418687177969436,79.0,46.997099999999996,-0.05303128220305642,0.05303128220305642
Smolder,Cassiopeia,0.40509999999999996,0.4581022373500162,79.0,32.0029,0.053002237350016246,0.053002237350016246
Ziggs,Malphite,0.5818,0.5290090353913091,55.0,31.999,-0.05279096460869093,0.05279096460869093
Malphite,Ziggs,0.4182,0.47095742248808325,55.0,23.001,0.05275742248808324,0.05275742248808324
Ziggs,Smolder,0.5921,0.5397556845775733,76.0,44.999599999999994,-0.05234431542242668,0.05234431542242668
Smolder,Ziggs,0.4079,0.46021477548666423,76.0,31.0004,0.052314775486664244,0.052314775486664244
Nasus,Sion,0.5832999999999999,0.5312212530353306,60.0,34.998,-0.0520787469646693,0.0520787469646693
Sion,Nasus,0.4167,0.46874625303533063,60.0,25.002000000000002,0.052046253035330614,0.052046253035330614
Nasus,Kassadin,0.6323,0.5804074528849134,155.0,98.0065,-0.05189254711508662,0.05189254711508662
Kassadin,Nasus,0.3677,0.4195721587672663,155.0,56.993500000000004,0.05187215876726625,0.05187215876726625
Nasus,Naafiri,0.6054999999999999,0.555009093232789,109.0,65.9995,-0.05049090676721091,0.05049090676721091
Naafiri,Nasus,0.3945,0.4449660310318321,109.0,43.0005,0.05046603103183206,0.05046603103183206
Ekko,Cho'Gath,0.6234000000000001,0.5748070885261927,154.0,96.0036,-0.0485929114738074,0.0485929114738074
