pool,pool_size,simulation_mode,mean_score,median_score,sd_score,lower_5_score,upper_95_score,probability_of_being_best,point_estimate_rank_source
"Pantheon, Sion, Xerath",3,fixed-policy,0.5422017154885802,0.5422280716937085,0.003107804936129531,0.5370464724680641,0.5473341807236949,0.168,top_100_deterministic_eb
"Aurelion Sol, Pantheon, Sion",3,fixed-policy,0.5417540820129074,0.5417563241112893,0.003181693019671454,0.5364149017370421,0.5470327660147182,0.1284,top_100_deterministic_eb
"Pantheon, Sion, Vel'Koz",3,fixed-policy,0.5410059766327309,0.5410775377426,0.0034026510713225018,0.5354038830127503,0.5465575831001058,0.1174,top_100_deterministic_eb
"Fizz, Pantheon, Sion",3,fixed-policy,0.5409273249740972,0.5409116852474828,0.0032117871559271,0.5356712092743878,0.5461647087913907,0.0418,top_100_deterministic_eb
"Katarina, Pantheon, Sion",3,fixed-policy,0.5403944828664229,0.5404066699126895,0.0032516229623208615,0.5349781563409679,0.5456680358664483,0.013,top_100_deterministic_eb
"Akshan, Pantheon, Sion",3,fixed-policy,0.5402955460021895,0.5403804433806827,0.003336468887647776,0.5346863939575079,0.5456512550833647,0.0332,top_100_deterministic_eb
"Aurelion Sol, Sion, Vex",3,fixed-policy,0.5398677287245799,0.5398475314233719,0.0026873191347190034,0.5354714178440906,0.5442606320798,0.0278,top_100_deterministic_eb
"Akshan, Sion, Xerath",3,fixed-policy,0.5395966269209259,0.5396156381823314,0.002878200864537172,0.5348774600381061,0.5443246687067342,0.0138,top_100_deterministic_eb
"Sion, Vex, Xerath",3,fixed-policy,0.5395532726362556,0.5395584805079349,0.0026089799913307983,0.5351951572647201,0.5437936396354328,0.0078,top_100_deterministic_eb
"Naafiri, Pantheon, Sion",3,fixed-policy,0.5395189190358204,0.5395892138245353,0.0033353094277538023,0.5340012059932467,0.5448771743282842,0.0162,top_100_deterministic_eb
"Akshan, Aurelion Sol, Sion",3,fixed-policy,0.5395045840014487,0.5395313921005171,0.002944320493730839,0.5346248891135853,0.5443427819596811,0.0154,top_100_deterministic_eb
"Diana, Pantheon, Sion",3,fixed-policy,0.5393826128033483,0.5393786632819424,0.0031418821082411148,0.5341936016848329,0.544549945683498,0.0108,top_100_deterministic_eb
"Hwei, Pantheon, Sion",3,fixed-policy,0.5393020026934707,0.5392906846052705,0.003304019404784216,0.5338333126442757,0.5446117855579219,0.0082,top_100_deterministic_eb
"Anivia, Pantheon, Sion",3,fixed-policy,0.5392007480583938,0.5392348219763369,0.0033176680280834012,0.5337525034672119,0.5445651466060533,0.004,top_100_deterministic_eb
"Annie, Pantheon, Sion",3,fixed-policy,0.5391273612738061,0.5391342219423658,0.0033629427432816227,0.5335936646436517,0.5447156527089762,0.0074,top_100_deterministic_eb
"Pantheon, Sion, Swain",3,fixed-policy,0.539101066492789,0.5390747622841355,0.003612318780530257,0.5331364154896217,0.5451095158800957,0.0174,top_100_deterministic_eb
"Aurelion Sol, Katarina, Sion",3,fixed-policy,0.5389947850205931,0.5390227123378151,0.0029099433133727777,0.5342640865659127,0.5437907877305181,0.0052,top_100_deterministic_eb
"Aurelion Sol, Fizz, Sion",3,fixed-policy,0.5389858666835083,0.5389631345031693,0.002929988402162429,0.5342541269751275,0.5438558877612355,0.005,top_100_deterministic_eb
"Anivia, Sion, Xerath",3,fixed-policy,0.5389702591786437,0.5389264341478288,0.002805201204309891,0.5343689852429425,0.5436176926911941,0.005,top_100_deterministic_eb
"Malzahar, Pantheon, Sion",3,fixed-policy,0.5389591098885045,0.5389573032280348,0.00309480713371052,0.533830068544309,0.5440520692655678,0.0008,top_100_deterministic_eb
"Nasus, Pantheon, Sion",3,fixed-policy,0.5389549619732463,0.5389797899960262,0.0038029081414638734,0.5327730147565156,0.5452093289303737,0.0362,top_100_deterministic_eb
"Sion, Veigar, Xerath",3,fixed-policy,0.5388780687410086,0.538898599375921,0.00267970433369086,0.5345660839904723,0.543372820645971,0.0048,top_100_deterministic_eb
"Akshan, Malzahar, Sion",3,fixed-policy,0.5388369835246891,0.5388703099912742,0.0028815683157175647,0.5340291990643001,0.5434965811310604,0.0084,top_100_deterministic_eb
"Akshan, Sion, Veigar",3,fixed-policy,0.5387725039824872,0.5388097641918039,0.0029173646724600763,0.5339395995253129,0.5434706956145969,0.0064,top_100_deterministic_eb
"Brand, Pantheon, Sion",3,fixed-policy,0.5387657935550424,0.5387502662463839,0.0035841227575177047,0.5328845803874882,0.5445950310800084,0.0154,top_100_deterministic_eb
"Anivia, Aurelion Sol, Sion",3,fixed-policy,0.5386801319947964,0.5386485154549241,0.0028783704433519865,0.5339880310242329,0.5433553601122633,0.0036,top_100_deterministic_eb
"Annie, Aurelion Sol, Sion",3,fixed-policy,0.5385750700274686,0.5385878033156579,0.002921933014754655,0.5336965476563879,0.5433530676779632,0.0056,top_100_deterministic_eb
"Sion, Swain, Xerath",3,fixed-policy,0.5385381903921976,0.5384888990238554,0.0031312185849772444,0.5334648148109562,0.5438321356380539,0.0064,top_100_deterministic_eb
"Pantheon, Sion, Veigar",3,fixed-policy,0.5385166385563745,0.5385017312686995,0.003325675870247992,0.5329263749132966,0.5439182839448983,0.0014,top_100_deterministic_eb
