pool,pool_size,simulation_mode,mean_score,median_score,sd_score,lower_5_score,upper_95_score,probability_of_being_best,point_estimate_rank_source
"Pantheon, Sion, Xerath",3,fixed-policy,0.5422081484754916,0.5420830048423922,0.0030306698582912546,0.5369679186166691,0.5477463913413981,0.22,top_20_deterministic_eb
"Aurelion Sol, Pantheon, Sion",3,fixed-policy,0.5417962277553443,0.5420565073371341,0.003320031663767299,0.5365620487249997,0.5467035553625135,0.16,top_20_deterministic_eb
"Fizz, Pantheon, Sion",3,fixed-policy,0.5409234152143841,0.5410589568991799,0.003130977611871035,0.5350803021548325,0.5465248532387265,0.08,top_20_deterministic_eb
"Pantheon, Sion, Vel'Koz",3,fixed-policy,0.540871002575292,0.5410463245684674,0.0034574182894894913,0.5352982759512509,0.546043788840697,0.21,top_20_deterministic_eb
"Akshan, Pantheon, Sion",3,fixed-policy,0.5404951630746531,0.5404004207949007,0.003126919010186652,0.5355519388717241,0.5459159200265715,0.04,top_20_deterministic_eb
"Katarina, Pantheon, Sion",3,fixed-policy,0.5403401240047002,0.5403217248025451,0.003200156375886931,0.5351302291159985,0.5458161171669931,0.03,top_20_deterministic_eb
"Aurelion Sol, Sion, Vex",3,fixed-policy,0.5400368193645848,0.5396416664253081,0.0028696411252938938,0.5354762524080452,0.5449142200141818,0.05,top_20_deterministic_eb
"Sion, Vex, Xerath",3,fixed-policy,0.5398266337307629,0.5399756054825734,0.0026995174459699322,0.5356159856277924,0.5452644087082138,0.04,top_20_deterministic_eb
"Naafiri, Pantheon, Sion",3,fixed-policy,0.5397917940452605,0.5397285231530582,0.0029664735318926413,0.5353806287622114,0.545995455624145,0.04,top_20_deterministic_eb
"Diana, Pantheon, Sion",3,fixed-policy,0.5394213289301775,0.5392388494420768,0.003220700699579664,0.5343100018174115,0.5438960411933023,0.01,top_20_deterministic_eb
"Akshan, Sion, Xerath",3,fixed-policy,0.5394142463405445,0.5392476789951253,0.002800624857702899,0.5346491812888359,0.5439071030572511,0.01,top_20_deterministic_eb
"Akshan, Aurelion Sol, Sion",3,fixed-policy,0.5393665507817933,0.5390817819031968,0.00292931455929334,0.534959828024964,0.5448497834246335,0.02,top_20_deterministic_eb
"Hwei, Pantheon, Sion",3,fixed-policy,0.5391865415957152,0.5390350696977299,0.0034828911609838687,0.5337482830557465,0.5448933480264441,0.01,top_20_deterministic_eb
"Anivia, Pantheon, Sion",3,fixed-policy,0.5390635577382674,0.5393156393417687,0.003435843176707466,0.5330440369563214,0.5451929548397263,0.0,top_20_deterministic_eb
"Annie, Pantheon, Sion",3,fixed-policy,0.5390508484304939,0.5393371071269171,0.0035866677318892827,0.5336870789618849,0.5450558428566714,0.02,top_20_deterministic_eb
"Aurelion Sol, Katarina, Sion",3,fixed-policy,0.539023796867492,0.5387969054383135,0.002924671334656409,0.5342706792632199,0.5451730429007148,0.02,top_20_deterministic_eb
"Malzahar, Pantheon, Sion",3,fixed-policy,0.5389986227480535,0.5387896670246142,0.0032151128037557083,0.5336449586518993,0.5445462433289973,0.0,top_20_deterministic_eb
"Aurelion Sol, Fizz, Sion",3,fixed-policy,0.538932219314468,0.5384912992477591,0.002832491863795728,0.5353449502694624,0.5441777239703273,0.0,top_20_deterministic_eb
"Anivia, Sion, Xerath",3,fixed-policy,0.538812921945095,0.5387437307388756,0.0025887669586379396,0.534644185108324,0.5434352023096453,0.01,top_20_deterministic_eb
"Pantheon, Sion, Swain",3,fixed-policy,0.5387702411510034,0.5383821489590499,0.0039003868177247248,0.5324740688442337,0.5458215062043383,0.03,top_20_deterministic_eb
"Pantheon, Sion, Vel'Koz",3,oracle,0.5471475999842589,0.5473822255332388,0.0030125020258097847,0.541765889106433,0.5524349543223743,0.35,top_20_deterministic_eb
"Pantheon, Sion, Xerath",3,oracle,0.5470440975284072,0.547028657797412,0.0023854971578177583,0.5431999164197301,0.5512744990074185,0.16,top_20_deterministic_eb
"Aurelion Sol, Pantheon, Sion",3,oracle,0.5469971771955356,0.5469116506498837,0.002692261088754564,0.5432209579734424,0.5520891281377002,0.16,top_20_deterministic_eb
"Akshan, Pantheon, Sion",3,oracle,0.5458767206029722,0.5458294616382455,0.0029147587584482525,0.5410478303102054,0.5512408799774411,0.08,top_20_deterministic_eb
"Fizz, Pantheon, Sion",3,oracle,0.5458380972996977,0.5456620625125339,0.002819277386752994,0.5418506481938921,0.5507360392151981,0.02,top_20_deterministic_eb
"Pantheon, Sion, Swain",3,oracle,0.5457324510548974,0.5454444136458086,0.0032976505109082355,0.5413907554393672,0.5512630975751517,0.07,top_20_deterministic_eb
"Naafiri, Pantheon, Sion",3,oracle,0.5456243649512793,0.5452616969115935,0.002800640887716098,0.541525398028013,0.5514465427153791,0.05,top_20_deterministic_eb
"Diana, Pantheon, Sion",3,oracle,0.545432789681337,0.5455405979229593,0.003038009364306038,0.5404369619683066,0.5506010914208705,0.03,top_20_deterministic_eb
"Annie, Pantheon, Sion",3,oracle,0.5453771370454717,0.5456548362389892,0.0030951799813088198,0.5407491167754027,0.5514575887946419,0.01,top_20_deterministic_eb
"Katarina, Pantheon, Sion",3,oracle,0.5451510293157468,0.5453800679158255,0.0028939661231403334,0.5407177309814054,0.5506990061776762,0.0,top_20_deterministic_eb
"Anivia, Pantheon, Sion",3,oracle,0.5448269926403444,0.5448381627854693,0.0029771628054143587,0.5401656786493155,0.5495245652437337,0.01,top_20_deterministic_eb
"Hwei, Pantheon, Sion",3,oracle,0.5446306812463856,0.5445401706038728,0.00308799447936038,0.5400034690048742,0.5500652471704819,0.0,top_20_deterministic_eb
"Malzahar, Pantheon, Sion",3,oracle,0.5444440474815491,0.5444310087403726,0.002943619626553396,0.5394930203533665,0.550226008341771,0.0,top_20_deterministic_eb
"Aurelion Sol, Sion, Vex",3,oracle,0.5441695266200743,0.5441274038690221,0.002550500350716363,0.540238746902379,0.5485965155010997,0.02,top_20_deterministic_eb
"Akshan, Aurelion Sol, Sion",3,oracle,0.544135700141278,0.5442007517139513,0.002532808993020247,0.5403146017045053,0.5488088119796766,0.02,top_20_deterministic_eb
"Sion, Vex, Xerath",3,oracle,0.544085199581462,0.5439524575667667,0.0022746009248500306,0.5406085028108656,0.5479027072712556,0.0,top_20_deterministic_eb
"Akshan, Sion, Xerath",3,oracle,0.5436902070932351,0.5436291524745243,0.0023339494069244374,0.5402514355995894,0.547823904113456,0.02,top_20_deterministic_eb
"Aurelion Sol, Fizz, Sion",3,oracle,0.5431325670094286,0.5426411659442432,0.0024556634730559554,0.5394007568775698,0.5475488374393286,0.0,top_20_deterministic_eb
"Anivia, Sion, Xerath",3,oracle,0.5428618767460311,0.5430001802449487,0.0023632808407193645,0.5382833764530169,0.5465259734296496,0.0,top_20_deterministic_eb
"Aurelion Sol, Katarina, Sion",3,oracle,0.5424440470256737,0.5422235775440347,0.0025528008004236484,0.5382781293435751,0.5467778073110394,0.0,top_20_deterministic_eb
