pool,pool_size,simulation_mode,mean_score,median_score,sd_score,lower_5_score,upper_95_score,probability_of_being_best,point_estimate_rank_source
"Pantheon, Sion, Xerath",3,fixed-policy,0.5414221803739383,0.5411563383504642,0.0030790894504871156,0.537201930642555,0.546913059879072,0.22,top_10_deterministic_eb
"Aurelion Sol, Pantheon, Sion",3,fixed-policy,0.5411987312452553,0.5410066061245244,0.003123211802877899,0.5365366186636997,0.5462256469452069,0.2,top_10_deterministic_eb
"Pantheon, Sion, Vel'Koz",3,fixed-policy,0.5410171241955345,0.5401909155411089,0.0038300190679146123,0.5361621492383073,0.5474320318647173,0.2,top_10_deterministic_eb
"Fizz, Pantheon, Sion",3,fixed-policy,0.5407283217349981,0.5402714952498611,0.0031855485348815083,0.5358283692940745,0.5452832139725782,0.12,top_10_deterministic_eb
"Akshan, Pantheon, Sion",3,fixed-policy,0.5402589076553816,0.5396287022292862,0.003292646730744547,0.5356866525895623,0.5456912914309029,0.12,top_10_deterministic_eb
"Katarina, Pantheon, Sion",3,fixed-policy,0.5401417466284896,0.5403032659482875,0.003197082707560183,0.5357702069350782,0.5445485094320388,0.0,top_10_deterministic_eb
"Akshan, Sion, Xerath",3,fixed-policy,0.539446105271622,0.5392732677864596,0.0030623913512388017,0.5348053183746615,0.5444563005233273,0.02,top_10_deterministic_eb
"Aurelion Sol, Sion, Vex",3,fixed-policy,0.5393822316318866,0.5390337278353933,0.0029427974837642123,0.5351094288938167,0.5439877041061593,0.08,top_10_deterministic_eb
"Naafiri, Pantheon, Sion",3,fixed-policy,0.539112143613,0.5388159637840586,0.0034790466888875806,0.5341784261221486,0.5451045058574319,0.02,top_10_deterministic_eb
"Sion, Vex, Xerath",3,fixed-policy,0.5388038818130496,0.5385977218630351,0.0027470058993300157,0.5348840227641104,0.543704792214625,0.02,top_10_deterministic_eb
"Pantheon, Sion, Vel'Koz",3,oracle,0.5469879227990975,0.5473428819834063,0.0034938441088172294,0.542012252507813,0.5516327641114361,0.42,top_10_deterministic_eb
"Aurelion Sol, Pantheon, Sion",3,oracle,0.5463211329182506,0.5461178057586809,0.0025686311378120227,0.5423081469737233,0.5506965736256485,0.24,top_10_deterministic_eb
"Pantheon, Sion, Xerath",3,oracle,0.5463168172271878,0.5463512570717141,0.0024972385557740008,0.5425433553116252,0.549918834609607,0.08,top_10_deterministic_eb
"Akshan, Pantheon, Sion",3,oracle,0.545608303498151,0.5458865489874065,0.0027669802045302283,0.5408271541677788,0.5501042277448019,0.12,top_10_deterministic_eb
"Fizz, Pantheon, Sion",3,oracle,0.5450925943146405,0.5450984130695316,0.0027071586976221995,0.5408135970521795,0.5492555136917673,0.02,top_10_deterministic_eb
"Naafiri, Pantheon, Sion",3,oracle,0.544893013271543,0.5447662748469821,0.0026520438372639146,0.5399373535392298,0.5488732198122623,0.02,top_10_deterministic_eb
"Katarina, Pantheon, Sion",3,oracle,0.5447068201530417,0.544714571752049,0.0027177904270491164,0.5409217078324516,0.5495765390246921,0.02,top_10_deterministic_eb
"Akshan, Sion, Xerath",3,oracle,0.5435833007187368,0.5434910163137823,0.002777387455328622,0.5395036274907171,0.5480837294705139,0.02,top_10_deterministic_eb
"Aurelion Sol, Sion, Vex",3,oracle,0.5434735711973269,0.5433872378144367,0.0028959009594718386,0.5391521480368329,0.5488458868466293,0.04,top_10_deterministic_eb
"Sion, Vex, Xerath",3,oracle,0.5433132034858991,0.5433529523999127,0.002742745618323725,0.5388912517377658,0.5477890233882148,0.02,top_10_deterministic_eb
