pool,raw_rank,raw_score,eb_rank,eb_score,posterior_mean_rank,mean_score,median_score,sd_score,lower_5_rank,lower_5_score,upper_95_score,prob_best_rank,probability_of_being_best,rank_change_raw_to_eb,rank_change_raw_to_posterior_mean,rank_change_raw_to_lower_5,rank_change_raw_to_prob_best
"Pantheon, Sion, Vel'Koz",1,0.5533629795822144,3,0.541096150203366,1,0.5471609901548474,0.5471592024275156,0.00304284124791708,3,0.5422616410454405,0.5521186867824459,1,0.1512,-2,0,-2,0
"Pantheon, Sion, Xerath",4,0.5522057151201459,1,0.542309355221224,2,0.546988706813017,0.5470006703885577,0.002700851268562042,1,0.542594222994939,0.5514282586390619,4,0.074,3,2,3,0
"Aurelion Sol, Pantheon, Sion",3,0.5523229520553096,2,0.541834174997799,3,0.54691802725558,0.5469005550163684,0.0028164552450624034,2,0.5423620975870315,0.5515864970329771,3,0.0956,1,0,1,0
"Nasus, Pantheon, Sion",2,0.5524330586575894,21,0.5390038278498619,4,0.5468192225290183,0.5468136714841701,0.003284975357686298,4,0.5413682485896839,0.5522143951260167,2,0.1362,-19,-2,-2,0
"Morgana, Pantheon, Sion",10,0.5503878236490911,54,0.537913944027568,5,0.5461249832509144,0.546185170707608,0.0031845835352419935,7,0.5407977799750662,0.5514085243184536,5,0.068,-44,5,3,5
"Pantheon, Sion, Swain",8,0.5510397101937817,16,0.5392362081995916,6,0.5458769540458497,0.5458739479440498,0.003104366599383659,8,0.5407451981728107,0.5510046112599645,6,0.0432,-8,2,0,2
"Fizz, Pantheon, Sion",5,0.5515752742791986,4,0.5410122560678999,7,0.5457926479007914,0.5457912862751193,0.0028002668258860215,5,0.5412615202749264,0.5504034628142982,19,0.0102,1,-2,0,-14
"Akshan, Pantheon, Sion",9,0.550876697955606,6,0.5403593900418794,8,0.5457483383632753,0.5457814186375288,0.0029292279061645487,6,0.5409665898990593,0.550591353451835,12,0.016,3,1,3,-3
"Naafiri, Pantheon, Sion",11,0.5502043364864437,10,0.5396166063886879,9,0.5454912498540138,0.545508569388737,0.0029011427367731197,9,0.5407203658733093,0.5502709266546197,11,0.0166,1,2,2,0
"Annie, Pantheon, Sion",13,0.5499981244798748,15,0.5392436162696432,10,0.5453383500172145,0.54528104879106,0.0029059675593384013,10,0.540599671939993,0.5500849509859712,17,0.0118,-2,3,3,-4
"Nasus, Sion, Vel'Koz",21,0.5493316193252095,,,12,0.5451199943037845,0.545093123156116,0.0031049681808776593,20,0.5400154434683737,0.5502182119055393,7,0.0372,,9,1,14
"Brand, Pantheon, Sion",6,0.5512056836629018,24,0.5388853648643681,13,0.5451069369615887,0.5450931331724103,0.003043569228228562,17,0.5401472085598258,0.5501018488239051,14,0.0158,-18,-7,-11,-8
"Akshan, Nasus, Sion",18,0.5495771624040163,57,0.5378714149086377,14,0.5451058106697833,0.5450556876798174,0.0029366473471655243,16,0.540245445182594,0.5499476542046584,9,0.0266,-39,4,2,9
"Katarina, Pantheon, Sion",7,0.5511748085594217,5,0.5405011915062167,15,0.5450017673417497,0.5450144169422539,0.0029300699869380144,14,0.5402719832920383,0.5497628368124853,72,0.0008,2,-8,-7,-65
"Akshan, Morgana, Sion",19,0.5495387019273555,36,0.5383427773964583,18,0.5447700201616024,0.5447822444738226,0.002929833442151979,21,0.5399216003951225,0.549563611414006,10,0.0234,-17,1,-2,9
"Morgana, Nasus, Sion",31,0.5487052015969819,,,22,0.5445043563483343,0.544473912752208,0.003303374519369417,43,0.5390834799841586,0.5499304185089829,8,0.0292,,9,-12,23
"Aurelion Sol, Sion, Vex",50,0.54774705222738,7,0.5399512924659039,29,0.5440528065819199,0.5440121753798781,0.002419729046287668,19,0.5400517837113675,0.5481258958442825,35,0.0044,43,21,31,15
"Akshan, Sion, Xerath",69,0.5472819534948599,8,0.5396646762097249,33,0.5439012195604008,0.5438679596338334,0.0025200642850016315,24,0.5397572367181637,0.5481114567439906,43,0.003,61,36,45,26
"Sion, Vex, Xerath",95,0.5466585558436916,9,0.5396386344008536,34,0.5438975401195244,0.5438430930995233,0.0022826057682057534,13,0.5403252680099214,0.5477638359086039,48,0.0026,86,61,82,47
