pool,pool_size,mean_score,median_score,sd_score,lower_5_score,upper_95_score,probability_of_being_best
"Pantheon, Sion, Vel'Koz",3,0.5471609901548474,0.5471592024275156,0.00304284124791708,0.5422616410454405,0.5521186867824459,0.1512
"Pantheon, Sion, Xerath",3,0.546988706813017,0.5470006703885577,0.002700851268562042,0.542594222994939,0.5514282586390619,0.074
"Aurelion Sol, Pantheon, Sion",3,0.54691802725558,0.5469005550163684,0.0028164552450624034,0.5423620975870315,0.5515864970329771,0.0956
"Nasus, Pantheon, Sion",3,0.5468192225290183,0.5468136714841701,0.003284975357686298,0.5413682485896839,0.5522143951260167,0.1362
"Morgana, Pantheon, Sion",3,0.5461249832509144,0.546185170707608,0.0031845835352419935,0.5407977799750662,0.5514085243184536,0.068
"Pantheon, Sion, Swain",3,0.5458769540458497,0.5458739479440498,0.003104366599383659,0.5407451981728107,0.5510046112599645,0.0432
"Fizz, Pantheon, Sion",3,0.5457926479007914,0.5457912862751193,0.0028002668258860215,0.5412615202749264,0.5504034628142982,0.0102
"Akshan, Pantheon, Sion",3,0.5457483383632753,0.5457814186375288,0.0029292279061645487,0.5409665898990593,0.550591353451835,0.016
"Naafiri, Pantheon, Sion",3,0.5454912498540138,0.545508569388737,0.0029011427367731197,0.5407203658733093,0.5502709266546197,0.0166
"Annie, Pantheon, Sion",3,0.5453383500172145,0.54528104879106,0.0029059675593384013,0.540599671939993,0.5500849509859712,0.0118
"Diana, Pantheon, Sion",3,0.5452061091359964,0.5451605056919437,0.002841454918378231,0.5404886831298408,0.5498684863461321,0.0046
"Nasus, Sion, Vel'Koz",3,0.5451199943037845,0.545093123156116,0.0031049681808776593,0.5400154434683737,0.5502182119055393,0.0372
"Brand, Pantheon, Sion",3,0.5451069369615887,0.5450931331724103,0.003043569228228562,0.5401472085598258,0.5501018488239051,0.0158
"Akshan, Nasus, Sion",3,0.5451058106697833,0.5450556876798174,0.0029366473471655243,0.540245445182594,0.5499476542046584,0.0266
"Katarina, Pantheon, Sion",3,0.5450017673417497,0.5450144169422539,0.0029300699869380144,0.5402719832920383,0.5497628368124853,0.0008
"Anivia, Pantheon, Sion",3,0.5449740510873735,0.5449799163592137,0.0028787558679188928,0.540258381281785,0.5496374776625008,0.002
"Nasus, Sion, Xerath",3,0.5447777105292351,0.5447582980102513,0.0027516145016594543,0.5403359110518982,0.5493673102869835,0.012
"Akshan, Morgana, Sion",3,0.5447700201616024,0.5447822444738226,0.002929833442151979,0.5399216003951225,0.549563611414006,0.0234
"Malphite, Pantheon, Sion",3,0.5447028464089901,0.5447488505215021,0.0031748235250259257,0.5395802223333852,0.5498923313491859,0.016
"Hwei, Pantheon, Sion",3,0.5446740251502586,0.5447087372485191,0.002961777862506,0.5398861839043316,0.549524461638229,0.002
"Pantheon, Sion, Ziggs",3,0.5445507689096896,0.5445348345730425,0.0030925042169775,0.5395688829381545,0.5495959010997218,0.0088
"Morgana, Nasus, Sion",3,0.5445043563483343,0.544473912752208,0.003303374519369417,0.5390834799841586,0.5499304185089829,0.0292
"Pantheon, Sion, Veigar",3,0.544460067315353,0.5444674097704183,0.002861990732320799,0.5398200402114445,0.5490756042416831,0.0002
"Malzahar, Pantheon, Sion",3,0.5443312978653646,0.5443320672218463,0.0027849427385691432,0.5397127270764591,0.5489311430823743,0.0002
"Morgana, Sion, Xerath",3,0.5443174291841063,0.5443125132760127,0.0028165867004901817,0.539754257246583,0.5489443489068061,0.0092
"Akshan, Aurelion Sol, Sion",3,0.5443141889690971,0.5442994340260021,0.00261418361270675,0.5400807816154235,0.5486276659232066,0.0068
"Fizz, Nasus, Sion",3,0.5441750448767134,0.5441300093375454,0.0028228599282788904,0.5395387332094853,0.5488835723140194,0.0038
"Morgana, Sion, Vel'Koz",3,0.5440867893723109,0.5440980080286832,0.003080570836143337,0.5390137515468519,0.5493063427729948,0.0098
"Aurelion Sol, Sion, Vex",3,0.5440528065819199,0.5440121753798781,0.002419729046287668,0.5400517837113675,0.5481258958442825,0.0044
"Annie, Nasus, Sion",3,0.5440435101694505,0.5440155576603242,0.0028979069942500686,0.5392780922438029,0.5488788559620171,0.0066
"Pantheon, Sion, Viktor",3,0.5440192081127221,0.5440477527853296,0.002796351723339803,0.5394841076540925,0.5485231493066519,0.0
"Aurelion Sol, Nasus, Sion",3,0.5439032130409381,0.5438447342035815,0.0029626363601189627,0.539219318285708,0.5488493156683911,0.006
"Akshan, Sion, Xerath",3,0.5439012195604008,0.5438679596338334,0.0025200642850016315,0.5397572367181637,0.5481114567439906,0.003
"Sion, Vex, Xerath",3,0.5438975401195244,0.5438430930995233,0.0022826057682057534,0.5403252680099214,0.5477638359086039,0.0026
"Lissandra, Pantheon, Sion",3,0.543832349430349,0.5438009901248393,0.0028149111892161027,0.5392992166739271,0.5484322539200716,0.0
"Irelia, Pantheon, Sion",3,0.5438271933052979,0.5438378074795762,0.0029857618377306223,0.5389458589952991,0.5486861366161239,0.0004
"Morgana, Sion, Swain",3,0.5438265079493413,0.5437891160466712,0.0031257070527266626,0.5387268609912161,0.5488998718638679,0.0104
"Sion, Swain, Vel'Koz",3,0.5437764078937205,0.5437834849080612,0.002986145437071859,0.5389478664214116,0.548621221748958,0.0084
"Sion, Swain, Xerath",3,0.5437049341985949,0.5436643862539516,0.0027063787236877965,0.5393538250954978,0.548270786225262,0.0022
"Jayce, Pantheon, Sion",3,0.5437048997072088,0.5437327318644998,0.0032134660983867574,0.5384453118811743,0.5489653362005916,0.0016
"Akshan, Sion, Vel'Koz",3,0.5436990538665252,0.543677414474201,0.002834809165580512,0.5390298423123221,0.5484399596125585,0.0018
"Ekko, Pantheon, Sion",3,0.543696183373273,0.5437243941903168,0.0028911160621545545,0.5390001391750316,0.5483600791837059,0.0
"Fizz, Morgana, Sion",3,0.5436959637356316,0.5437048823993633,0.002821317134495246,0.5391282808693176,0.5483074445768454,0.0038
"Annie, Aurelion Sol, Sion",3,0.5436500613812314,0.5436257021480497,0.002549331975398847,0.5394177570161941,0.5478799888377875,0.0028
"Nasus, Sion, Swain",3,0.5436068238279725,0.5435852965356824,0.003067269991733664,0.5386705210392555,0.5486833142712005,0.0044
