scope_id,patch,rank_scope,rank_scope_type,champion,top_100_appearances,top_100_inclusion_frequency,best_pool_member,best_pool_rank_with_champion,mean_top_100_rank_with_champion
16.05__plat_plus__cumulative,16.05,plat_plus,cumulative,Ahri,5,0.05,False,13.0,55.0
16.05__plat_plus__cumulative,16.05,plat_plus,cumulative,Akali,1,0.01,False,40.0,40.0
16.05__plat_plus__cumulative,16.05,plat_plus,cumulative,Akshan,2,0.02,False,25.0,42.5
16.05__plat_plus__cumulative,16.05,plat_plus,cumulative,Anivia,3,0.03,False,9.0,44.0
16.05__plat_plus__cumulative,16.05,plat_plus,cumulative,Annie,6,0.06,False,4.0,46.166666666666664
16.05__plat_plus__cumulative,16.05,plat_plus,cumulative,Aurelion Sol,15,0.15,False,2.0,56.2
16.05__plat_plus__cumulative,16.05,plat_plus,cumulative,Aurora,1,0.01,False,69.0,69.0
16.05__plat_plus__cumulative,16.05,plat_plus,cumulative,Azir,1,0.01,False,96.0,96.0
16.05__plat_plus__cumulative,16.05,plat_plus,cumulative,Brand,5,0.05,False,31.0,60.0
16.05__plat_plus__cumulative,16.05,plat_plus,cumulative,Cassiopeia,1,0.01,False,51.0,51.0
16.05__plat_plus__cumulative,16.05,plat_plus,cumulative,Cho'Gath,1,0.01,False,32.0,32.0
16.05__plat_plus__cumulative,16.05,plat_plus,cumulative,Diana,2,0.02,False,19.0,46.0
16.05__plat_plus__cumulative,16.05,plat_plus,cumulative,Ekko,1,0.01,False,87.0,87.0
16.05__plat_plus__cumulative,16.05,plat_plus,cumulative,Fizz,5,0.05,False,11.0,47.6
16.05__plat_plus__cumulative,16.05,plat_plus,cumulative,Galio,1,0.01,False,82.0,82.0
16.05__plat_plus__cumulative,16.05,plat_plus,cumulative,Hwei,1,0.01,False,29.0,29.0
16.05__plat_plus__cumulative,16.05,plat_plus,cumulative,Irelia,1,0.01,False,52.0,52.0
16.05__plat_plus__cumulative,16.05,plat_plus,cumulative,Jayce,1,0.01,False,42.0,42.0
16.05__plat_plus__cumulative,16.05,plat_plus,cumulative,Kassadin,1,0.01,False,37.0,37.0
16.05__plat_plus__cumulative,16.05,plat_plus,cumulative,Katarina,3,0.03,False,30.0,38.666666666666664
16.05__plat_plus__cumulative,16.05,plat_plus,cumulative,LeBlanc,1,0.01,False,48.0,48.0
16.05__plat_plus__cumulative,16.05,plat_plus,cumulative,Lissandra,1,0.01,False,46.0,46.0
16.05__plat_plus__cumulative,16.05,plat_plus,cumulative,Lux,3,0.03,False,10.0,44.0
16.05__plat_plus__cumulative,16.05,plat_plus,cumulative,Malphite,2,0.02,False,12.0,55.5
16.05__plat_plus__cumulative,16.05,plat_plus,cumulative,Malzahar,2,0.02,False,7.0,39.0
