champion,champion_name_normalized,pickrate,winrate,champion_key,banrate,total_games,lane,patch,elo,source_url,extraction_date,top_pool_appearances,top_pool_share,best_top_pool_rank,mean_top_pool_rank,blind_score,selection_advantage,observed_mix_weighted_advantage,general_mix_weighted_advantage,positive_selection_component,negative_selection_component,mean_absolute_frequency_delta,max_enrichment_ratio,recorded_matchup_games,recorded_matchup_coverage,top_positive_matchups,top_negative_matchups,exclusion_score_drop,exclusion_relative_score_drop,best_pool_after_exclusion,lolalytics_pickrate,lolalytics_breadth,lolalytics_depth,lolalytics_classification,specialist_heuristic_flag,low_mid_presence_flag,pickrate_relative_difference,pickrate_sources_agree_within_20pct,best_pool_matchups_covered,best_pool_enemy_frequency_covered,best_pool_marginal_lift,best_pool_top5_marginal_lift_share,best_pool_marginal_lift_hhi,best_pool_effective_matchups,best_pool_median_matchup_games,best_pool_min_matchup_games,top_pool_slot_share,candidate_pickrate_share,importance_to_pickrate_ratio,best_pool_member,estimator
Sion,sion,0.0104,0.5376,sion,0.0116,19539,mid,16.07,plat_plus,https://op.gg/lol/champions/sion/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07,99,0.99,1.0,50.282828282828284,0.5209103410521649,0.00516395436649062,3.1008182133085427e-17,-0.005163954366490589,0.00621784719699904,-0.001053892830508421,0.003936431620354274,1.9927397464136938,15583.0,0.7975331388505041,Malzahar:0.0031; Zed:0.0009; Ahri:0.0005; Veigar:0.0003; Syndra:0.0002,Yasuo:-0.0003; Mel:-0.0002; Xerath:-0.0001; Aurelion Sol:-0.0001; Kassadin:-0.0001,0.004718740657168596,0.008701197225785792,"Nasus, Pantheon, Xerath",0.0104,1.19,0.98,broad,False,False,0.0,True,21,0.4656151616651709,0.012045397096967612,0.591014909587411,0.12593941236797673,7.940326075828787,266.0,38.0,0.33,0.005588393336915637,59.050961538461536,True,eb
Pantheon,pantheon,0.0086,0.5251,pantheon,0.018000000000000002,16143,mid,16.07,plat_plus,https://op.gg/lol/champions/pantheon/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07,31,0.31,1.0,35.38709677419355,0.5124295251872716,0.006936302575819318,-4.206704429243757e-17,-0.006936302575819359,0.00806397591446588,-0.0011276733386465646,0.006185634898766203,2.3900328662937844,12410.0,0.7687542588118689,Yasuo:0.0021; Ahri:0.0009; Kassadin:0.0005; Yone:0.0004; Lissandra:0.0004,Katarina:-0.0006; Mel:-0.0002; Twisted Fate:-0.0001; Fizz:-0.0001; Xerath:-0.0001,0.002358062755320134,0.004348187492281431,"Aurelion Sol, Sion, Vex",0.0087,1.77,0.95,broad,False,True,0.011560693641618427,True,12,0.22556260699912759,0.008101309075730895,0.8156450692500121,0.163932207872438,6.100082546183595,210.5,33.0,0.10333333333333333,0.0046211714132187,22.360852713178293,True,eb
Xerath,xerath,0.057699999999999994,0.5228,xerath,0.0915,107160,mid,16.07,plat_plus,https://op.gg/lol/champions/xerath/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07,19,0.19,1.0,42.94736842105263,0.5136981477903475,0.0032114241383936247,-6.440160904563896e-17,-0.0032114241383936894,0.003611548694093863,-0.00040012455570023774,0.003404338671334516,1.5513177392234492,86940.0,0.8113101903695409,Mel:0.0010; Viktor:0.0004; Azir:0.0003; Akali:0.0003; Syndra:0.0002,Ryze:-0.0001; Fizz:-0.0001; Smolder:-0.0001; Galio:-0.0000; Qiyana:-0.0000,0.0004751802234250757,0.0008762161649069019,"Aurelion Sol, Pantheon, Sion",0.0579,2.07,1.01,popular,False,False,0.003460207612456847,True,19,0.3088222313357015,0.009207867871147742,0.6065675728748443,0.09939154944654237,10.061217533768792,1335.0,277.0,0.06333333333333334,0.031004836109618485,2.0426920854997115,True,eb
Akshan,akshan,0.0248,0.5109,akshan,0.0241,46043,mid,16.07,plat_plus,https://op.gg/lol/champions/akshan/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07,17,0.17,6.0,51.411764705882355,0.5050444620308384,-0.0001460104199440242,-7.762887554996212e-17,0.00014601041994394658,0.000928967811891778,-0.001074978231835801,0.001694523112421239,2.272145322161614,37430.0,0.8129357339877941,Yasuo:0.0004; Cassiopeia:0.0001; Ahri:0.0001; LeBlanc:0.0001; Fizz:0.0000,Malphite:-0.0002; Diana:-0.0002; Sylas:-0.0002; Vex:-0.0001; Anivia:-0.0001,0.0,0.0,"Pantheon, Sion, Xerath",0.0242,0.53,1.33,niche,True,False,0.02448979591836734,True,0,0.0,0.0,,,,,,0.056666666666666664,0.013326168726491136,4.252284946236558,False,eb
Aurelion Sol,aurelionsol,0.0305,0.5214,aurelionsol,0.0124,56607,mid,16.07,plat_plus,https://op.gg/lol/champions/aurelionsol/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07,17,0.17,2.0,46.0,0.5117920905624045,0.0006086446273486654,1.3010426069826053e-17,-0.0006086446273486524,0.001589367023646839,-0.0009807223962981736,0.00240873484573994,1.4364440995401935,44979.0,0.7945837087286025,Mel:0.0005; Zed:0.0002; Ahri:0.0002; Akali:0.0001; Orianna:0.0001,Yone:-0.0004; Naafiri:-0.0001; Galio:-0.0001; Fizz:-0.0001; Talon:-0.0001,0.0,0.0,"Pantheon, Sion, Xerath",0.0304,0.83,1.28,niche,True,False,0.0032840722495894713,True,0,0.0,0.0,,,,,,0.056666666666666664,0.016389038151531435,3.4575956284153,False,eb
Fizz,fizz,0.051399999999999994,0.5179,fizz,0.0758,95059,mid,16.07,plat_plus,https://op.gg/lol/champions/fizz/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07,12,0.12,4.0,50.833333333333336,0.5124032350106817,-0.00047196202186311183,2.970713952610282e-17,0.00047196202186314154,0.0008208715073188701,-0.0012928335291819812,0.0024586397509940307,1.4672085119289968,73880.0,0.7772015274724119,Mel:0.0003; Syndra:0.0002; Akali:0.0001; Cassiopeia:0.0000; Xerath:0.0000,Lissandra:-0.0003; Galio:-0.0002; Diana:-0.0001; Smolder:-0.0001; Yone:-0.0001,0.0,0.0,"Pantheon, Sion, Xerath",0.0524,1.56,1.17,popular,True,False,0.01926782273603098,True,0,0.0,0.0,,,,,,0.04,0.027619559376679204,1.4482490272373543,False,eb
Vel'Koz,velkoz,0.011899999999999999,0.5183,velkoz,0.013600000000000001,22030,mid,16.07,plat_plus,https://op.gg/lol/champions/velkoz/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07,12,0.12,3.0,61.666666666666664,0.5063273923942383,-0.0003444581441160253,-1.214306433183765e-16,0.00034445814411590385,0.0010921521076840115,-0.0014366102518000368,0.0027250079944954723,1.5472880989389393,17800.0,0.807989105764866,Veigar:0.0002; Irelia:0.0001; Lux:0.0001; Akali:0.0001; Hwei:0.0001,Xerath:-0.0003; Talon:-0.0003; Sylas:-0.0002; Ekko:-0.0001; Ryze:-0.0001,0.0,0.0,"Pantheon, Sion, Xerath",0.0118,1.01,1.33,popular,True,False,0.008438818565400793,True,0,0.0,0.0,,,,,,0.04,0.006394411606663084,6.25546218487395,False,eb
Katarina,katarina,0.0662,0.506,katarina,0.09570000000000001,122886,mid,16.07,plat_plus,https://op.gg/lol/champions/katarina/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07,11,0.11,5.0,67.0,0.5038628317350412,-0.0015635112272170898,-3.707971429900425e-17,0.0015635112272170527,0.0005345168535884175,-0.0020980280808055073,0.002550107061752642,1.4734246009734255,97447.0,0.7929869960776654,Viktor:0.0002; Zed:0.0000; Twisted Fate:0.0000; Anivia:0.0000; Kassadin:0.0000,Vex:-0.0003; Orianna:-0.0002; Diana:-0.0002; Lissandra:-0.0002; Syndra:-0.0002,0.0,0.0,"Pantheon, Sion, Xerath",0.0658,1.39,1.5,popular,True,False,0.006060606060606023,True,0,0.0,0.0,,,,,,0.03666666666666667,0.03557227297152069,1.0307653575025175,False,eb
Anivia,anivia,0.0332,0.5186999999999999,anivia,0.03,61657,mid,16.07,plat_plus,https://op.gg/lol/champions/anivia/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07,7,0.07,14.0,54.714285714285715,0.5142620397429556,-0.0004957667846738698,-3.7730235602495554e-17,0.0004957667846738321,0.0006605128746455814,-0.001156279659319451,0.0018543103276440955,1.6570807344637268,50449.0,0.8182201534294565,Ryze:0.0002; Vladimir:0.0001; Lissandra:0.0001; Azir:0.0000; Akshan:0.0000,Xerath:-0.0003; Aurelion Sol:-0.0002; Sylas:-0.0001; Viktor:-0.0001; Vex:-0.0001,0.0,0.0,"Pantheon, Sion, Xerath",0.0331,0.89,1.05,niche,True,False,0.003016591251885456,True,0,0.0,0.0,,,,,,0.023333333333333334,0.017839871037076842,1.3079317269076305,False,eb
Malzahar,malzahar,0.0758,0.521,malzahar,0.1233,140607,mid,16.07,plat_plus,https://op.gg/lol/champions/malzahar/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07,7,0.07,20.0,48.142857142857146,0.5123373271298907,-0.0012185607081127072,2.5370330836160804e-17,0.0012185607081127326,0.0009112659982617253,-0.002129826706374432,0.0026487393828614177,5.871014643060663,109308.0,0.7774008406409354,LeBlanc:0.0001; Yasuo:0.0001; Annie:0.0001; Fizz:0.0001; Lissandra:0.0001,Sion:-0.0006; Smolder:-0.0003; Sylas:-0.0002; Aurelion Sol:-0.0002; Orianna:-0.0002,0.0,0.0,"Pantheon, Sion, Xerath",0.0766,1.99,1.23,popular,True,False,0.01049868766404193,True,0,0.0,0.0,,,,,,0.023333333333333334,0.04073078989790436,0.5728671943711521,False,eb
