champion,champion_key,selection_advantage,observed_mix_weighted_advantage,general_mix_weighted_advantage,positive_selection_component,negative_selection_component,mean_absolute_frequency_delta,max_enrichment_ratio,recorded_matchup_games,recorded_matchup_coverage,top_positive_matchups,top_negative_matchups
Malphite,malphite,0.014548527756771833,-4.9873299934333204e-17,-0.014548527756771883,0.01652037007783517,-0.0019718423210633353,0.01024432252894014,4.12806047811657,13187.0,0.7688316231343284,Zed:0.0069; Yasuo:0.0012; Irelia:0.0006; Naafiri:0.0005; Malzahar:0.0005,Sylas:-0.0014; Galio:-0.0001; Azir:-0.0001; Annie:-0.0001; Lissandra:-0.0001
Smolder,smolder,0.009267367671224684,-3.946495907847236e-17,-0.009267367671224724,0.010449979316995468,-0.0011826116457707835,0.00887028455567479,6.079524400959239,15419.0,0.785801651207828,Malzahar:0.0062; Galio:0.0008; Fizz:0.0004; Xerath:0.0004; Viktor:0.0003,Talon:-0.0004; Akali:-0.0002; Vladimir:-0.0002; Anivia:-0.0001; Azir:-0.0001
Pantheon,pantheon,0.006936302575819318,-4.206704429243757e-17,-0.006936302575819359,0.00806397591446588,-0.0011276733386465646,0.006185634898766203,2.3900328662937844,12410.0,0.7687542588118689,Yasuo:0.0021; Ahri:0.0009; Kassadin:0.0005; Yone:0.0004; Lissandra:0.0004,Katarina:-0.0006; Mel:-0.0002; Twisted Fate:-0.0001; Fizz:-0.0001; Xerath:-0.0001
Sion,sion,0.00516395436649062,3.1008182133085427e-17,-0.005163954366490589,0.00621784719699904,-0.001053892830508421,0.003936431620354274,1.9927397464136938,15583.0,0.7975331388505041,Malzahar:0.0031; Zed:0.0009; Ahri:0.0005; Veigar:0.0003; Syndra:0.0002,Yasuo:-0.0003; Mel:-0.0002; Xerath:-0.0001; Aurelion Sol:-0.0001; Kassadin:-0.0001
Xerath,xerath,0.0032114241383936247,-6.440160904563896e-17,-0.0032114241383936894,0.003611548694093863,-0.00040012455570023774,0.003404338671334516,1.5513177392234492,86940.0,0.8113101903695409,Mel:0.0010; Viktor:0.0004; Azir:0.0003; Akali:0.0003; Syndra:0.0002,Ryze:-0.0001; Fizz:-0.0001; Smolder:-0.0001; Galio:-0.0000; Qiyana:-0.0000
Vex,vex,0.002614388358217281,-7.654467337747661e-17,-0.0026143883582173573,0.003200849488049707,-0.0005864611298324251,0.003217102187224094,1.7645338442296108,50955.0,0.7946446672800711,LeBlanc:0.0008; Katarina:0.0004; Akali:0.0002; Yasuo:0.0002; Viktor:0.0002,Galio:-0.0001; Ahri:-0.0001; Smolder:-0.0001; Ryze:-0.0001; Veigar:-0.0000
Nasus,nasus,0.002487046961913263,-5.377642775528102e-17,-0.002487046961913317,0.0032587830639107663,-0.0007717361019975033,0.003044465578528341,1.6855147948403104,9646.0,0.7754019292604502,Zed:0.0012; Lux:0.0004; LeBlanc:0.0003; Lissandra:0.0003; Kassadin:0.0002,Zoe:-0.0001; Hwei:-0.0001; Orianna:-0.0001; Mel:-0.0001; Xerath:-0.0001
Lissandra,lissandra,0.001954665951473532,-6.06069014419397e-17,-0.0019546659514735926,0.0023604266775083915,-0.0004057607260348592,0.002814625121749552,1.3998296553834186,77493.0,0.8089884121515816,Yasuo:0.0008; Akali:0.0003; Twisted Fate:0.0001; Talon:0.0001; Malzahar:0.0001,Yone:-0.0001; Orianna:-0.0001; Taliyah:-0.0000; Mel:-0.0000; Azir:-0.0000
Galio,galio,0.0017695091735979284,-2.4936649967166602e-17,-0.0017695091735979533,0.0027079091172650645,-0.0009383999436671362,0.0036732054254676565,1.8827553148698148,53286.0,0.797646847494162,Akali:0.0008; Veigar:0.0003; Diana:0.0002; Zed:0.0002; Sylas:0.0002,Yasuo:-0.0003; Hwei:-0.0001; Mel:-0.0001; Azir:-0.0001; Smolder:-0.0001
Swain,swain,0.0016259017762028968,5.616167253474913e-17,-0.0016259017762028406,0.0023306369420367503,-0.0007047351658338538,0.002937267202630658,1.4357613690864175,16758.0,0.7904716981132075,Katarina:0.0006; Kassadin:0.0002; LeBlanc:0.0002; Fizz:0.0002; Sylas:0.0002,Vex:-0.0002; Orianna:-0.0001; Brand:-0.0001; Malzahar:-0.0001; Cassiopeia:-0.0001
