champion,champion_key,enemy_champion,enemy_key,matchup_games,champion_recorded_matchup_games,champion_summary_total_games,recorded_matchup_coverage,conditional_enemy_frequency,general_enemy_frequency,frequency_delta,expected_matchup_games,enrichment_ratio,enrichment_z,raw_winrate,posterior_mean,posterior_lower_5,posterior_upper_95,posterior_interval_width,champion_matchup_baseline,matchup_advantage,selection_component,best_pool_selected,best_pool_enemy_frequency,best_pool_value,best_alternative_value,best_pool_marginal_lift,best_pool_weighted_value,best_pool_matchup_games,best_pool_posterior_mean,best_pool_posterior_lower_5,best_pool_posterior_upper_95
Ahri,ahri,Orianna,orianna,4665.0,167739.0,208625.0,0.8040215698022768,0.027811063616690217,0.024957411484741697,0.0028536521319485197,4186.331245039088,1.1143408695927126,7.492150497274441,0.5367999999999999,0.5360271564502944,0.5241363715015948,0.5479007457836973,0.02376437428210254,0.5059533300048948,0.030073826445399576,8.582023895176427e-05,False,,,,,,,,,
Ahri,ahri,Sylas,sylas,9194.0,167739.0,208625.0,0.8040215698022768,0.05481134381390136,0.039451818889341066,0.015359524924560296,6617.608648679181,1.3893236194671388,32.31481808775997,0.5104,0.5102878201512431,0.5017578378296277,0.5188152851005359,0.017057447270908188,0.5059533300048948,0.0043344901463482355,6.657570943809672e-05,False,,,,,,,,,
Ahri,ahri,Aurora,aurora,3992.0,167739.0,208625.0,0.8040215698022768,0.02379887801882687,0.02009589958858176,0.0037029784302451095,3370.866101089116,1.1842653728399946,10.80743652721299,0.5225,0.5219495113601302,0.5091004489307397,0.5347863741212309,0.025685925190491177,0.5059533300048948,0.015996181355235395,5.923351452472565e-05,False,,,,,,,,,
Ahri,ahri,Fizz,fizz,4186.0,167739.0,208625.0,0.8040215698022768,0.024955436720142603,0.02857762869003768,-0.0036221919698950777,4793.58285883823,0.8732507861592521,-8.903716908567752,0.49210000000000004,0.49228371453235026,0.47972614956216764,0.504845374110774,0.025119224548606378,0.5059533300048948,-0.013669615472544583,4.9513971396204494e-05,False,,,,,,,,,
Ahri,ahri,Yasuo,yasuo,6972.0,167739.0,208625.0,0.8040215698022768,0.041564573533882994,0.04803566759141644,-0.006471094057533447,8057.454846116602,0.865285643314557,-12.393742915989968,0.5,0.4999996324216138,0.4902205085833637,0.5097787563780708,0.019558247794707107,0.5059533300048948,-0.005953697583281015,3.8526937051521016e-05,False,,,,,,,,,
Ahri,ahri,Katarina,katarina,5933.0,167739.0,208625.0,0.8040215698022768,0.035370426674774504,0.03769412394534438,-0.0023236972705698786,6322.774656468121,0.9383538592397269,-4.996928976496354,0.49439999999999995,0.49449239192535266,0.48390641454398003,0.5050804455110971,0.021174030967117063,0.5059533300048948,-0.011460938079542182,2.6631750533602555e-05,False,,,,,,,,,
Ahri,ahri,Syndra,syndra,5186.0,167739.0,208625.0,0.8040215698022768,0.030917079510429893,0.027166134664807908,0.0037509448456219847,4556.820262540214,1.1380742933031658,9.449839628855205,0.5131,0.5128516837846487,0.501541718093049,0.524156120066758,0.02261440197370901,0.5059533300048948,0.006898353779753896,2.5875344553444812e-05,False,,,,,,,,,
Ahri,ahri,Zed,zed,6117.0,167739.0,208625.0,0.8040215698022768,0.03646736894818736,0.0390336700701376,-0.0025663011219502346,6547.46878389481,0.9342541678161705,-5.426888009976036,0.49909999999999993,0.4991140583055578,0.4886844113025043,0.5095440293970388,0.020859618094534516,0.5059533300048948,-0.006839271699337068,1.7551630635331206e-05,False,,,,,,,,,
Ahri,ahri,Taliyah,taliyah,1394.0,167739.0,208625.0,0.8040215698022768,0.008310530049660484,0.007344101277887531,0.0009664287717729529,1231.8922042515767,1.1315925169336634,4.635730533126485,0.523,0.52145876873203,0.500190550286042,0.5426943124105859,0.042503762124543876,0.5059533300048948,0.015505438727135168,1.498490210486602e-05,False,,,,,,,,,
Ahri,ahri,Anivia,anivia,3097.0,167739.0,208625.0,0.8040215698022768,0.018463207721519742,0.01951451413505478,-0.001051306413535038,3273.3450864999536,0.9461269490872678,-3.1127689278579256,0.49340000000000006,0.493605630430295,0.47906562567801964,0.5081501843295171,0.02908455865149745,0.5059533300048948,-0.012347699574599857,1.2981215755180689e-05,False,,,,,,,,,
