champion,top_pool_appearances,top_pool_share,best_top_pool_rank,mean_top_pool_rank,champion_name_normalized,pickrate,winrate,champion_key,banrate,total_games,lane,patch,elo,source_url,extraction_date,exclusion_score_drop,best_pool_member,best_pool,best_pool_score,scope,rank
Sion,96,0.96,1.0,49.239583333333336,sion,0.011000000000000001,0.5344,sion,0.0105,7596,mid,16.07,emerald_plus,https://op.gg/lol/champions/sion/build/mid?region=global&tier=emerald_plus,2026-04-05,0.003308528991748383,True,"Ekko, Pantheon, Sion",0.5377908734492037,opgg_emerald_plus_patch_16.07,emerald_plus
Fizz,23,0.23,2.0,46.65217391304348,fizz,0.0451,0.518,fizz,0.058499999999999996,30710,mid,16.07,emerald_plus,https://op.gg/lol/champions/fizz/build/mid?region=global&tier=emerald_plus,2026-04-05,0.0,False,"Ekko, Pantheon, Sion",0.5377908734492037,opgg_emerald_plus_patch_16.07,emerald_plus
Pantheon,22,0.22,1.0,44.95454545454545,pantheon,0.0077,0.5266,pantheon,0.0143,5330,mid,16.07,emerald_plus,https://op.gg/lol/champions/pantheon/build/mid?region=global&tier=emerald_plus,2026-04-05,0.00016681355638514805,True,"Ekko, Pantheon, Sion",0.5377908734492037,opgg_emerald_plus_patch_16.07,emerald_plus
Katarina,19,0.19,4.0,54.578947368421055,katarina,0.0676,0.5114,katarina,0.1051,46233,mid,16.07,emerald_plus,https://op.gg/lol/champions/katarina/build/mid?region=global&tier=emerald_plus,2026-04-05,0.0,False,"Ekko, Pantheon, Sion",0.5377908734492037,opgg_emerald_plus_patch_16.07,emerald_plus
Aurelion Sol,17,0.17,7.0,48.05882352941177,aurelionsol,0.0294,0.5205,aurelionsol,0.0113,20079,mid,16.07,emerald_plus,https://op.gg/lol/champions/aurelionsol/build/mid?region=global&tier=emerald_plus,2026-04-05,0.0,False,"Ekko, Pantheon, Sion",0.5377908734492037,opgg_emerald_plus_patch_16.07,emerald_plus
Malzahar,14,0.14,2.0,43.285714285714285,malzahar,0.0632,0.5162,malzahar,0.09300000000000001,43397,mid,16.07,emerald_plus,https://op.gg/lol/champions/malzahar/build/mid?region=global&tier=emerald_plus,2026-04-05,0.0,False,"Ekko, Pantheon, Sion",0.5377908734492037,opgg_emerald_plus_patch_16.07,emerald_plus
Akshan,12,0.12,7.0,38.916666666666664,akshan,0.0274,0.5166,akshan,0.0296,18817,mid,16.07,emerald_plus,https://op.gg/lol/champions/akshan/build/mid?region=global&tier=emerald_plus,2026-04-05,0.0,False,"Ekko, Pantheon, Sion",0.5377908734492037,opgg_emerald_plus_patch_16.07,emerald_plus
Ekko,12,0.12,1.0,41.75,ekko,0.0294,0.5106,ekko,0.0275,20100,mid,16.07,emerald_plus,https://op.gg/lol/champions/ekko/build/mid?region=global&tier=emerald_plus,2026-04-05,0.00016681355638514805,True,"Ekko, Pantheon, Sion",0.5377908734492037,opgg_emerald_plus_patch_16.07,emerald_plus
Veigar,12,0.12,5.0,37.25,veigar,0.0409,0.5197999999999999,veigar,0.0173,28109,mid,16.07,emerald_plus,https://op.gg/lol/champions/veigar/build/mid?region=global&tier=emerald_plus,2026-04-05,0.0,False,"Ekko, Pantheon, Sion",0.5377908734492037,opgg_emerald_plus_patch_16.07,emerald_plus
Xerath,12,0.12,19.0,49.5,xerath,0.0604,0.5202,xerath,0.0781,41486,mid,16.07,emerald_plus,https://op.gg/lol/champions/xerath/build/mid?region=global&tier=emerald_plus,2026-04-05,0.0,False,"Ekko, Pantheon, Sion",0.5377908734492037,opgg_emerald_plus_patch_16.07,emerald_plus
Anivia,9,0.09,26.0,39.77777777777778,anivia,0.0359,0.5213,anivia,0.0347,24653,mid,16.07,emerald_plus,https://op.gg/lol/champions/anivia/build/mid?region=global&tier=emerald_plus,2026-04-05,0.0,False,"Ekko, Pantheon, Sion",0.5377908734492037,opgg_emerald_plus_patch_16.07,emerald_plus
Swain,8,0.08,13.0,51.625,swain,0.0118,0.521,swain,0.025699999999999997,8055,mid,16.07,emerald_plus,https://op.gg/lol/champions/swain/build/mid?region=global&tier=emerald_plus,2026-04-05,0.0,False,"Ekko, Pantheon, Sion",0.5377908734492037,opgg_emerald_plus_patch_16.07,emerald_plus
Vex,6,0.06,45.0,72.33333333333333,vex,0.0322,0.5195000000000001,vex,0.0354,22100,mid,16.07,emerald_plus,https://op.gg/lol/champions/vex/build/mid?region=global&tier=emerald_plus,2026-04-05,0.0,False,"Ekko, Pantheon, Sion",0.5377908734492037,opgg_emerald_plus_patch_16.07,emerald_plus
Twisted Fate,4,0.04,21.0,59.75,twistedfate,0.0471,0.5191,twistedfate,0.0118,32392,mid,16.07,emerald_plus,https://op.gg/lol/champions/twistedfate/build/mid?region=global&tier=emerald_plus,2026-04-05,0.0,False,"Ekko, Pantheon, Sion",0.5377908734492037,opgg_emerald_plus_patch_16.07,emerald_plus
Cassiopeia,3,0.03,83.0,92.66666666666667,cassiopeia,0.0144,0.5147999999999999,cassiopeia,0.013999999999999999,9904,mid,16.07,emerald_plus,https://op.gg/lol/champions/cassiopeia/build/mid?region=global&tier=emerald_plus,2026-04-05,0.0,False,"Ekko, Pantheon, Sion",0.5377908734492037,opgg_emerald_plus_patch_16.07,emerald_plus
Diana,3,0.03,64.0,86.0,diana,0.0349,0.515,diana,0.0536,24043,mid,16.07,emerald_plus,https://op.gg/lol/champions/diana/build/mid?region=global&tier=emerald_plus,2026-04-05,0.0,False,"Ekko, Pantheon, Sion",0.5377908734492037,opgg_emerald_plus_patch_16.07,emerald_plus
Hwei,3,0.03,52.0,62.333333333333336,hwei,0.0346,0.5053,hwei,0.0158,23622,mid,16.07,emerald_plus,https://op.gg/lol/champions/hwei/build/mid?region=global&tier=emerald_plus,2026-04-05,0.0,False,"Ekko, Pantheon, Sion",0.5377908734492037,opgg_emerald_plus_patch_16.07,emerald_plus
Lissandra,3,0.03,25.0,45.666666666666664,lissandra,0.0545,0.5181,lissandra,0.0236,37225,mid,16.07,emerald_plus,https://op.gg/lol/champions/lissandra/build/mid?region=global&tier=emerald_plus,2026-04-05,0.0,False,"Ekko, Pantheon, Sion",0.5377908734492037,opgg_emerald_plus_patch_16.07,emerald_plus
Naafiri,3,0.03,76.0,85.0,naafiri,0.0204,0.5079,naafiri,0.17079999999999998,14037,mid,16.07,emerald_plus,https://op.gg/lol/champions/naafiri/build/mid?region=global&tier=emerald_plus,2026-04-05,0.0,False,"Ekko, Pantheon, Sion",0.5377908734492037,opgg_emerald_plus_patch_16.07,emerald_plus
Nasus,3,0.03,56.0,75.33333333333333,nasus,0.0070999999999999995,0.5192,nasus,0.050499999999999996,4850,mid,16.07,emerald_plus,https://op.gg/lol/champions/nasus/build/mid?region=global&tier=emerald_plus,2026-04-05,0.0,False,"Ekko, Pantheon, Sion",0.5377908734492037,opgg_emerald_plus_patch_16.07,emerald_plus
Ziggs,3,0.03,9.0,53.666666666666664,ziggs,0.0087,0.5143,ziggs,0.0040999999999999995,5972,mid,16.07,emerald_plus,https://op.gg/lol/champions/ziggs/build/mid?region=global&tier=emerald_plus,2026-04-05,0.0,False,"Ekko, Pantheon, Sion",0.5377908734492037,opgg_emerald_plus_patch_16.07,emerald_plus
Morgana,2,0.02,50.0,71.5,morgana,0.0054,0.5227,morgana,0.141,3735,mid,16.07,emerald_plus,https://op.gg/lol/champions/morgana/build/mid?region=global&tier=emerald_plus,2026-04-05,0.0,False,"Ekko, Pantheon, Sion",0.5377908734492037,opgg_emerald_plus_patch_16.07,emerald_plus
Qiyana,2,0.02,70.0,72.5,qiyana,0.0223,0.502,qiyana,0.0216,15266,mid,16.07,emerald_plus,https://op.gg/lol/champions/qiyana/build/mid?region=global&tier=emerald_plus,2026-04-05,0.0,False,"Ekko, Pantheon, Sion",0.5377908734492037,opgg_emerald_plus_patch_16.07,emerald_plus
Vel'Koz,2,0.02,39.0,43.5,velkoz,0.011699999999999999,0.5084000000000001,velkoz,0.0116,7991,mid,16.07,emerald_plus,https://op.gg/lol/champions/velkoz/build/mid?region=global&tier=emerald_plus,2026-04-05,0.0,False,"Ekko, Pantheon, Sion",0.5377908734492037,opgg_emerald_plus_patch_16.07,emerald_plus
Ahri,1,0.01,80.0,80.0,ahri,0.1182,0.5119,ahri,0.0634,80848,mid,16.07,emerald_plus,https://op.gg/lol/champions/ahri/build/mid?region=global&tier=emerald_plus,2026-04-05,0.0,False,"Ekko, Pantheon, Sion",0.5377908734492037,opgg_emerald_plus_patch_16.07,emerald_plus
Akali,1,0.01,94.0,94.0,akali,0.06570000000000001,0.5078,akali,0.2047,45063,mid,16.07,emerald_plus,https://op.gg/lol/champions/akali/build/mid?region=global&tier=emerald_plus,2026-04-05,0.0,False,"Ekko, Pantheon, Sion",0.5377908734492037,opgg_emerald_plus_patch_16.07,emerald_plus
Annie,1,0.01,55.0,55.0,annie,0.022799999999999997,0.5235,annie,0.0055000000000000005,15545,mid,16.07,emerald_plus,https://op.gg/lol/champions/annie/build/mid?region=global&tier=emerald_plus,2026-04-05,0.0,False,"Ekko, Pantheon, Sion",0.5377908734492037,opgg_emerald_plus_patch_16.07,emerald_plus
Brand,1,0.01,99.0,99.0,brand,0.009899999999999999,0.5167,brand,0.0231,6891,mid,16.07,emerald_plus,https://op.gg/lol/champions/brand/build/mid?region=global&tier=emerald_plus,2026-04-05,0.0,False,"Ekko, Pantheon, Sion",0.5377908734492037,opgg_emerald_plus_patch_16.07,emerald_plus
Jayce,1,0.01,90.0,90.0,jayce,0.0075,0.5024000000000001,jayce,0.0473,5158,mid,16.07,emerald_plus,https://op.gg/lol/champions/jayce/build/mid?region=global&tier=emerald_plus,2026-04-05,0.0,False,"Ekko, Pantheon, Sion",0.5377908734492037,opgg_emerald_plus_patch_16.07,emerald_plus
Kassadin,1,0.01,86.0,86.0,kassadin,0.0288,0.5019,kassadin,0.0395,19634,mid,16.07,emerald_plus,https://op.gg/lol/champions/kassadin/build/mid?region=global&tier=emerald_plus,2026-04-05,0.0,False,"Ekko, Pantheon, Sion",0.5377908734492037,opgg_emerald_plus_patch_16.07,emerald_plus
Malphite,1,0.01,67.0,67.0,malphite,0.008199999999999999,0.5126,malphite,0.20329999999999998,5661,mid,16.07,emerald_plus,https://op.gg/lol/champions/malphite/build/mid?region=global&tier=emerald_plus,2026-04-05,0.0,False,"Ekko, Pantheon, Sion",0.5377908734492037,opgg_emerald_plus_patch_16.07,emerald_plus
Aurora,0,0.0,,,aurora,0.0382,0.4963,aurora,0.0262,26107,mid,16.07,emerald_plus,https://op.gg/lol/champions/aurora/build/mid?region=global&tier=emerald_plus,2026-04-05,0.0,False,"Ekko, Pantheon, Sion",0.5377908734492037,opgg_emerald_plus_patch_16.07,emerald_plus
Azir,0,0.0,,,azir,0.0242,0.4722,azir,0.0034999999999999996,16595,mid,16.07,emerald_plus,https://op.gg/lol/champions/azir/build/mid?region=global&tier=emerald_plus,2026-04-05,0.0,False,"Ekko, Pantheon, Sion",0.5377908734492037,opgg_emerald_plus_patch_16.07,emerald_plus
Cho'Gath,0,0.0,,,chogath,0.005699999999999999,0.5057,chogath,0.0060999999999999995,3857,mid,16.07,emerald_plus,https://op.gg/lol/champions/chogath/build/mid?region=global&tier=emerald_plus,2026-04-05,0.0,False,"Ekko, Pantheon, Sion",0.5377908734492037,opgg_emerald_plus_patch_16.07,emerald_plus
Galio,0,0.0,,,galio,0.0378,0.49570000000000003,galio,0.0161,26031,mid,16.07,emerald_plus,https://op.gg/lol/champions/galio/build/mid?region=global&tier=emerald_plus,2026-04-05,0.0,False,"Ekko, Pantheon, Sion",0.5377908734492037,opgg_emerald_plus_patch_16.07,emerald_plus
Irelia,0,0.0,,,irelia,0.0255,0.499,irelia,0.1431,17452,mid,16.07,emerald_plus,https://op.gg/lol/champions/irelia/build/mid?region=global&tier=emerald_plus,2026-04-05,0.0,False,"Ekko, Pantheon, Sion",0.5377908734492037,opgg_emerald_plus_patch_16.07,emerald_plus
LeBlanc,0,0.0,,,leblanc,0.043899999999999995,0.501,leblanc,0.1557,30223,mid,16.07,emerald_plus,https://op.gg/lol/champions/leblanc/build/mid?region=global&tier=emerald_plus,2026-04-05,0.0,False,"Ekko, Pantheon, Sion",0.5377908734492037,opgg_emerald_plus_patch_16.07,emerald_plus
Lux,0,0.0,,,lux,0.0377,0.5106,lux,0.030299999999999997,25900,mid,16.07,emerald_plus,https://op.gg/lol/champions/lux/build/mid?region=global&tier=emerald_plus,2026-04-05,0.0,False,"Ekko, Pantheon, Sion",0.5377908734492037,opgg_emerald_plus_patch_16.07,emerald_plus
Mel,0,0.0,,,mel,0.0626,0.48340000000000005,mel,0.355,42806,mid,16.07,emerald_plus,https://op.gg/lol/champions/mel/build/mid?region=global&tier=emerald_plus,2026-04-05,0.0,False,"Ekko, Pantheon, Sion",0.5377908734492037,opgg_emerald_plus_patch_16.07,emerald_plus
Orianna,0,0.0,,,orianna,0.046900000000000004,0.48469999999999996,orianna,0.0109,32316,mid,16.07,emerald_plus,https://op.gg/lol/champions/orianna/build/mid?region=global&tier=emerald_plus,2026-04-05,0.0,False,"Ekko, Pantheon, Sion",0.5377908734492037,opgg_emerald_plus_patch_16.07,emerald_plus
Ryze,0,0.0,,,ryze,0.036699999999999997,0.4738,ryze,0.0101,25198,mid,16.07,emerald_plus,https://op.gg/lol/champions/ryze/build/mid?region=global&tier=emerald_plus,2026-04-05,0.0,False,"Ekko, Pantheon, Sion",0.5377908734492037,opgg_emerald_plus_patch_16.07,emerald_plus
