champion,champion_key,opgg_pickrate,opgg_winrate,opgg_banrate,opgg_total_games,opgg_source_url,opgg_extraction_date,lolalytics_pickrate,lolalytics_breadth,lolalytics_depth,lolalytics_classification,lolalytics_unique_players,lolalytics_total_ranked_games,lolalytics_source_url,lolalytics_extraction_date,lolalytics_pickrate_scope,lolalytics_depth_scope,lolalytics_available,pickrate_absolute_difference,pickrate_relative_difference,pickrate_sources_agree_within_20pct,specialist_heuristic_flag,low_mid_presence_flag,matchup_cross_source_comparable,matchup_cross_source_note
Ahri,ahri,0.1125,0.5123,0.0617,208625,https://op.gg/lol/champions/ahri/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07,0.1115,2.43,0.97,broad,314416,667576,https://lolalytics.com/lol/ahri/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,True,0.0010000000000000009,0.008928571428571437,True,False,False,False,"LoLalytics extract has pick rate and breadth/depth, not matchup W_ij."
Akali,akali,0.0674,0.5059,0.19899999999999998,125633,https://op.gg/lol/champions/akali/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07,0.0674,2.13,1.02,popular,262355,582739,https://lolalytics.com/lol/akali/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,True,0.0,0.0,True,False,False,False,"LoLalytics extract has pick rate and breadth/depth, not matchup W_ij."
Akshan,akshan,0.0248,0.5109,0.0241,46043,https://op.gg/lol/champions/akshan/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07,0.0242,0.53,1.33,niche,49561,144378,https://lolalytics.com/lol/akshan/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,True,0.0005999999999999998,0.02448979591836734,True,True,False,False,"LoLalytics extract has pick rate and breadth/depth, not matchup W_ij."
Anivia,anivia,0.0332,0.5186999999999999,0.03,61657,https://op.gg/lol/champions/anivia/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07,0.0331,0.89,1.05,niche,106311,244066,https://lolalytics.com/lol/anivia/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,True,0.00010000000000000286,0.003016591251885456,True,True,False,False,"LoLalytics extract has pick rate and breadth/depth, not matchup W_ij."
Annie,annie,0.0232,0.5231,0.0060999999999999995,43174,https://op.gg/lol/champions/annie/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07,0.0233,0.55,0.85,unpopular,81314,150457,https://lolalytics.com/lol/annie/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,True,0.00010000000000000286,0.0043010752688173275,True,False,False,False,"LoLalytics extract has pick rate and breadth/depth, not matchup W_ij."
Aurelion Sol,aurelionsol,0.0305,0.5214,0.0124,56607,https://op.gg/lol/champions/aurelionsol/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07,0.0304,0.83,1.28,niche,81686,227891,https://lolalytics.com/lol/aurelionsol/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,True,9.99999999999994e-05,0.0032840722495894713,True,True,False,False,"LoLalytics extract has pick rate and breadth/depth, not matchup W_ij."
Aurora,aurora,0.034300000000000004,0.4986,0.0245,63556,https://op.gg/lol/champions/aurora/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07,0.0338,0.78,0.96,unpopular,101076,212693,https://lolalytics.com/lol/aurora/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,True,0.0005000000000000074,0.014684287812041334,True,False,False,False,"LoLalytics extract has pick rate and breadth/depth, not matchup W_ij."
Azir,azir,0.0229,0.46799999999999997,0.0034999999999999996,42369,https://op.gg/lol/champions/azir/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07,0.0226,0.43,1.09,niche,49561,118339,https://lolalytics.com/lol/azir/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,True,0.00030000000000000165,0.01318681318681326,True,True,False,False,"LoLalytics extract has pick rate and breadth/depth, not matchup W_ij."
Brand,brand,0.0116,0.5178,0.0359,21704,https://op.gg/lol/champions/brand/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07,0.0118,1.6,1.01,popular,198904,440090,https://lolalytics.com/lol/brand/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,True,0.00020000000000000052,0.01709401709401714,True,False,False,False,"LoLalytics extract has pick rate and breadth/depth, not matchup W_ij."
Cassiopeia,cassiopeia,0.013000000000000001,0.505,0.012199999999999999,24217,https://op.gg/lol/champions/cassiopeia/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07,0.0128,0.37,0.88,unpopular,52736,100879,https://lolalytics.com/lol/cassiopeia/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,True,0.00020000000000000052,0.015503875968992286,True,False,False,False,"LoLalytics extract has pick rate and breadth/depth, not matchup W_ij."
