simulation,pool,pool_size,score,is_best
1,"Ahri, Viktor, Yone",3,0.5181214277073112,True
2,"Ahri, Viktor, Yone",3,0.5183127445309806,True
3,"Ahri, Viktor, Yone",3,0.5207368719101931,False
4,"Ahri, Viktor, Yone",3,0.5190003852995895,False
5,"Ahri, Viktor, Yone",3,0.5194313884867804,False
6,"Ahri, Viktor, Yone",3,0.520487932315518,True
7,"Ahri, Viktor, Yone",3,0.518675172218883,True
8,"Ahri, Viktor, Yone",3,0.5198217042440686,False
9,"Ahri, Viktor, Yone",3,0.5171645419624042,False
10,"Ahri, Viktor, Yone",3,0.5175932384096998,False
11,"Ahri, Viktor, Yone",3,0.5185018737889847,True
12,"Ahri, Viktor, Yone",3,0.5172749622353556,False
13,"Ahri, Viktor, Yone",3,0.5181372681636994,False
14,"Ahri, Viktor, Yone",3,0.5191186463946045,False
15,"Ahri, Viktor, Yone",3,0.5197907142394815,True
16,"Ahri, Viktor, Yone",3,0.5184426824892289,False
17,"Ahri, Viktor, Yone",3,0.5223596463561492,True
18,"Ahri, Viktor, Yone",3,0.5189347763855621,False
19,"Ahri, Viktor, Yone",3,0.5183406200693376,False
20,"Ahri, Viktor, Yone",3,0.5192427327616752,False
21,"Ahri, Viktor, Yone",3,0.5193271012028853,False
22,"Ahri, Viktor, Yone",3,0.5168219660152653,False
23,"Ahri, Viktor, Yone",3,0.5187670375933504,True
24,"Ahri, Viktor, Yone",3,0.5185883509120227,False
25,"Ahri, Viktor, Yone",3,0.5197412036582447,True
26,"Ahri, Viktor, Yone",3,0.5205632153964737,True
27,"Ahri, Viktor, Yone",3,0.5164076857910548,True
28,"Ahri, Viktor, Yone",3,0.5188164692317555,True
29,"Ahri, Viktor, Yone",3,0.5168752930177614,False
30,"Ahri, Viktor, Yone",3,0.5193177977730051,True
31,"Ahri, Viktor, Yone",3,0.519260883010649,True
32,"Ahri, Viktor, Yone",3,0.5195758508891859,True
33,"Ahri, Viktor, Yone",3,0.5188144893374252,True
34,"Ahri, Viktor, Yone",3,0.5176006282408127,True
35,"Ahri, Viktor, Yone",3,0.5171662503281768,False
36,"Ahri, Viktor, Yone",3,0.5188090757650323,False
37,"Ahri, Viktor, Yone",3,0.5193859639746071,False
38,"Ahri, Viktor, Yone",3,0.5204350792782597,True
39,"Ahri, Viktor, Yone",3,0.519677280739846,True
40,"Ahri, Viktor, Yone",3,0.5175754878772616,False
41,"Ahri, Viktor, Yone",3,0.5227760709728685,True
42,"Ahri, Viktor, Yone",3,0.5218187379516469,True
43,"Ahri, Viktor, Yone",3,0.5196361680253434,False
44,"Ahri, Viktor, Yone",3,0.5190230223699605,True
45,"Ahri, Viktor, Yone",3,0.5203797952564811,True
46,"Ahri, Viktor, Yone",3,0.5176921353464775,True
47,"Ahri, Viktor, Yone",3,0.5188086852500102,True
48,"Ahri, Viktor, Yone",3,0.5182296372137377,False
49,"Ahri, Viktor, Yone",3,0.5180589117896405,True
50,"Ahri, Viktor, Yone",3,0.5187032008909097,False
51,"Ahri, Viktor, Yone",3,0.518594935086451,False
52,"Ahri, Viktor, Yone",3,0.5195190635765783,True
53,"Ahri, Viktor, Yone",3,0.5187667917581855,True
54,"Ahri, Viktor, Yone",3,0.5196810060596978,True
55,"Ahri, Viktor, Yone",3,0.5183951441067196,True
56,"Ahri, Viktor, Yone",3,0.5170183578956358,False
57,"Ahri, Viktor, Yone",3,0.5189644853346792,True
58,"Ahri, Viktor, Yone",3,0.5204747795354515,True
59,"Ahri, Viktor, Yone",3,0.5206411119265325,True
60,"Ahri, Viktor, Yone",3,0.5186398075269661,False
61,"Ahri, Viktor, Yone",3,0.5200842773433362,True
62,"Ahri, Viktor, Yone",3,0.5167430535892219,False
63,"Ahri, Viktor, Yone",3,0.5214928788687286,True
64,"Ahri, Viktor, Yone",3,0.5182860666240484,False
65,"Ahri, Viktor, Yone",3,0.5209469935826921,True
66,"Ahri, Viktor, Yone",3,0.5178871476028308,False
67,"Ahri, Viktor, Yone",3,0.5201335379149905,False
68,"Ahri, Viktor, Yone",3,0.5202039774224261,True
69,"Ahri, Viktor, Yone",3,0.5223202381157008,True
70,"Ahri, Viktor, Yone",3,0.5186352718884589,False
71,"Ahri, Viktor, Yone",3,0.5187994695738528,False
72,"Ahri, Viktor, Yone",3,0.5194879927469699,True
73,"Ahri, Viktor, Yone",3,0.5201535234934822,False
74,"Ahri, Viktor, Yone",3,0.5187648329861463,False
75,"Ahri, Viktor, Yone",3,0.5195695452707322,True
76,"Ahri, Viktor, Yone",3,0.5180603118058522,True
77,"Ahri, Viktor, Yone",3,0.518865563109114,True
78,"Ahri, Viktor, Yone",3,0.5187904752862993,True
79,"Ahri, Viktor, Yone",3,0.5172232539100283,False
80,"Ahri, Viktor, Yone",3,0.519113667079054,False
81,"Ahri, Viktor, Yone",3,0.5169207929088976,False
82,"Ahri, Viktor, Yone",3,0.5180231769129766,False
83,"Ahri, Viktor, Yone",3,0.5200157617951822,True
84,"Ahri, Viktor, Yone",3,0.5191191725725256,True
85,"Ahri, Viktor, Yone",3,0.516873809041576,True
86,"Ahri, Viktor, Yone",3,0.5190737039904799,True
87,"Ahri, Viktor, Yone",3,0.5183584581246351,False
88,"Ahri, Viktor, Yone",3,0.5201710651781026,True
89,"Ahri, Viktor, Yone",3,0.5189111701527763,False
90,"Ahri, Viktor, Yone",3,0.5177297545304143,False
91,"Ahri, Viktor, Yone",3,0.5186028215674334,False
92,"Ahri, Viktor, Yone",3,0.5181887660461677,True
