pool,pool_size,mean_score,median_score,sd_score,lower_5_score,upper_95_score,probability_of_being_best
"Ahri, Viktor, Yone",3,0.5188588540106545,0.5188154792845904,0.001254484709908061,0.5167479896135242,0.5206858373136898,0.51
"Ahri, Syndra, Viktor",3,0.518822207607423,0.5188764332215295,0.001214462944709632,0.5168043788440161,0.5208469713058222,0.46
"Ahri, Orianna, Viktor",3,0.5174516383112342,0.5174736399378217,0.0012360332675448026,0.5155695205257479,0.5194370106714425,0.0033333333333333335
"Syndra, Viktor, Yone",3,0.5171218655535269,0.5172026737589811,0.0014810873498022862,0.5147688268767547,0.5195490811031148,0.02666666666666667
"Syndra, Orianna, Viktor",3,0.51408861553164,0.5141286474421491,0.0013998305553367027,0.5116915675203534,0.5164017743178596,0.0
"Ahri, Syndra, Yone",3,0.5137975232751547,0.513751132254358,0.0013043901541504531,0.511753027623134,0.5159686187677684,0.0
"Orianna, Viktor, Yone",3,0.5135448167389113,0.5136330669646678,0.00144455820089066,0.5112653294538154,0.5159894961090736,0.0
"Ahri, Syndra, Orianna",3,0.5119860582901692,0.5119985143388014,0.0012245950356889264,0.5099087771960695,0.5139225100865925,0.0
"Ahri, Orianna, Yone",3,0.5092755754806605,0.5091618129596409,0.0012637689515154022,0.5073858540395775,0.5114099770967369,0.0
"Syndra, Orianna, Yone",3,0.5066642078721363,0.5066089636142843,0.0016422001211312287,0.5041238538956899,0.5091817427815414,0.0
