enemy_champion,best_pool_champion_against_enemy,best_matchup_value,enemy_frequency
Ahri,Kayle,0.5042,0.07683385120915515
Yasuo,Nasus,0.5586,0.04833662490658803
Malzahar,Sion,0.6022,0.03877211728218962
Viktor,Nasus,0.5581,0.03845946060244712
Zed,Nasus,0.5901,0.03732152718243042
Akali,Nasus,0.5482,0.03572719812435332
Katarina,Nasus,0.5335,0.03571033079761192
Sylas,Sion,0.5282,0.03546318779274902
Mel,Sion,0.5479999999999999,0.03339021778163362
Yone,Kayle,0.5146000000000001,0.03162770436416412
Xerath,Nasus,0.5461,0.029056781533161817
Veigar,Nasus,0.5405,0.026878451843415512
Twisted Fate,Sion,0.5506,0.025963460481197916
Fizz,Nasus,0.5652,0.025638825554928912
Syndra,Nasus,0.5444,0.025377015309421314
