patch,pool_size,enemy_champion,enemy_frequency,best_pool_champion_against_enemy,best_matchup_value
16.07,3,Ahri,0.06093079297319275,Anivia,0.5065999999999999
16.07,3,Yasuo,0.045108816274074745,Anivia,0.5385
16.07,3,Viktor,0.040172281082463436,Xerath,0.5378000000000001
16.07,3,Malzahar,0.03970587113499993,Anivia,0.5207
16.07,3,Sylas,0.03704798828017873,Vex,0.5590999999999999
16.07,3,Zed,0.036655317600110135,Anivia,0.5377000000000001
16.07,3,Akali,0.03597168557431083,Vex,0.5337
16.07,3,Mel,0.03565021142827884,Xerath,0.5676
16.07,3,Katarina,0.03539739108292474,Vex,0.5386
16.07,3,Xerath,0.03158111155952013,Vex,0.486
16.07,3,Yone,0.02974961704619383,Vex,0.556
16.07,3,Lissandra,0.028149148020863525,Xerath,0.5104
16.07,3,Fizz,0.026836371112660223,Anivia,0.5127
16.07,3,Veigar,0.025786585483244723,Xerath,0.5249
16.07,3,Syndra,0.025510880537664624,Xerath,0.5513
