champion_i,champion_j,games_ij
Ahri,Sylas,17164.0
Ahri,Mel,16227.0
Ahri,Yasuo,14329.0
Ahri,Viktor,13990.0
Ahri,Zed,11919.0
Ahri,Malzahar,11670.0
Ahri,Katarina,11116.0
Ahri,Akali,10824.0
Ahri,Veigar,10576.0
Ahri,Syndra,9739.0
Ahri,Yone,9448.0
Ahri,Xerath,9175.0
Ahri,Twisted Fate,9059.0
Ahri,Orianna,8769.0
Ahri,LeBlanc,8499.0
Ahri,Lux,8110.0
Ahri,Fizz,7292.0
Ahri,Aurora,7030.0
Ahri,Diana,6893.0
Ahri,Zoe,6634.0
Ahri,Ryze,6597.0
Ahri,Galio,6281.0
Ahri,Anivia,5836.0
Ahri,Hwei,5712.0
Ahri,Vex,5643.0
Ahri,Annie,5391.0
Ahri,Lissandra,5244.0
Ahri,Ekko,4972.0
Ahri,Aurelion Sol,4904.0
Ahri,Kassadin,4861.0
Ahri,Akshan,4755.0
Ahri,Vladimir,4485.0
Ahri,Irelia,4234.0
Ahri,Naafiri,4170.0
Ahri,Qiyana,3714.0
Ahri,Taliyah,3445.0
Ahri,Talon,3333.0
Ahri,Azir,3138.0
Ahri,Vel'Koz,2014.0
Ahri,Brand,1842.0
Ahri,Cassiopeia,1792.0
Ahri,Swain,1685.0
Ahri,Smolder,1484.0
Ahri,Ziggs,1381.0
Ahri,Sion,1248.0
Ahri,Kayle,1081.0
Ahri,Jayce,1065.0
Ahri,Kog'Maw,1000.0
Ahri,Malphite,994.0
Ahri,Cho'Gath,987.0
Ahri,Morgana,928.0
Ahri,Pantheon,905.0
Ahri,Nasus,724.0
Xerath,Ahri,9175.0
Xerath,Viktor,6768.0
Xerath,Mel,6156.0
Xerath,Malzahar,5273.0
Xerath,Yasuo,4737.0
Xerath,Syndra,4252.0
Xerath,Zed,3984.0
Xerath,Veigar,3811.0
Xerath,Lux,3602.0
Xerath,Katarina,3510.0
Xerath,Fizz,3503.0
Xerath,Twisted Fate,3475.0
Xerath,Sylas,3428.0
Xerath,Yone,3284.0
Xerath,Akali,3151.0
Xerath,Orianna,3088.0
Xerath,Hwei,2958.0
Xerath,LeBlanc,2875.0
Xerath,Anivia,2790.0
Xerath,Diana,2368.0
Xerath,Zoe,2134.0
Xerath,Aurora,2095.0
Xerath,Lissandra,1983.0
Xerath,Galio,1948.0
Xerath,Ryze,1948.0
Xerath,Ekko,1925.0
Xerath,Vex,1879.0
Xerath,Aurelion Sol,1867.0
Xerath,Kassadin,1668.0
Xerath,Naafiri,1599.0
Xerath,Irelia,1539.0
Xerath,Akshan,1397.0
Xerath,Azir,1353.0
Xerath,Annie,1332.0
Xerath,Vladimir,1280.0
Xerath,Qiyana,1107.0
Xerath,Taliyah,1066.0
Xerath,Vel'Koz,1032.0
Xerath,Talon,921.0
Xerath,Ziggs,830.0
Xerath,Brand,782.0
Xerath,Cassiopeia,681.0
Xerath,Smolder,607.0
Xerath,Swain,524.0
Xerath,Sion,432.0
Xerath,Malphite,412.0
Xerath,Kog'Maw,388.0
Xerath,Morgana,347.0
Xerath,Kayle,336.0
Xerath,Jayce,329.0
Xerath,Cho'Gath,317.0
Xerath,Pantheon,314.0
Xerath,Nasus,304.0
Malzahar,Ahri,11670.0
Malzahar,Yasuo,8404.0
Malzahar,Viktor,6433.0
Malzahar,Zed,5856.0
Malzahar,Mel,5814.0
Malzahar,Katarina,5789.0
Malzahar,Smolder,5415.0
Malzahar,Xerath,5273.0
Malzahar,Veigar,5140.0
Malzahar,Akali,4890.0
Malzahar,Twisted Fate,4864.0
Malzahar,Yone,4632.0
Malzahar,Sylas,4245.0
Malzahar,Lux,4099.0
Malzahar,Fizz,3955.0
Malzahar,Syndra,3945.0
Malzahar,LeBlanc,3940.0
Malzahar,Diana,3634.0
Malzahar,Aurelion Sol,3473.0
Malzahar,Ryze,3422.0
Malzahar,Orianna,3092.0
Malzahar,Ekko,3021.0
Malzahar,Hwei,2999.0
Malzahar,Zoe,2793.0
Malzahar,Anivia,2718.0
Malzahar,Galio,2652.0
Malzahar,Kassadin,2640.0
Malzahar,Vladimir,2593.0
Malzahar,Irelia,2398.0
Malzahar,Aurora,2337.0
Malzahar,Lissandra,2258.0
Malzahar,Naafiri,2188.0
Malzahar,Akshan,2158.0
Malzahar,Vex,2006.0
Malzahar,Talon,1651.0
Malzahar,Qiyana,1552.0
Malzahar,Annie,1547.0
Malzahar,Sion,1483.0
Malzahar,Brand,1380.0
Malzahar,Azir,1362.0
Malzahar,Taliyah,1288.0
Malzahar,Vel'Koz,1094.0
Malzahar,Ziggs,917.0
Malzahar,Swain,894.0
Malzahar,Cassiopeia,825.0
Malzahar,Cho'Gath,570.0
Malzahar,Kayle,564.0
Malzahar,Morgana,549.0
Malzahar,Nasus,494.0
Malzahar,Malphite,460.0
Malzahar,Pantheon,455.0
Malzahar,Kog'Maw,432.0
Malzahar,Jayce,344.0
Veigar,Ahri,10576.0
Veigar,Malzahar,5140.0
