patch,pool_size,enemy_champion,enemy_frequency,best_pool_champion_against_enemy,best_matchup_value
16.07,3,Ahri,0.06093079297319275,Swain,0.5177
16.07,3,Yasuo,0.045108816274074745,Sion,0.5809000000000001
16.07,3,Viktor,0.040172281082463436,Sion,0.5456
16.07,3,Malzahar,0.03970587113499993,Sion,0.6137
16.07,3,Sylas,0.03704798828017873,Vel'Koz,0.5263
16.07,3,Zed,0.036655317600110135,Sion,0.5699000000000001
16.07,3,Akali,0.03597168557431083,Swain,0.5323
16.07,3,Mel,0.03565021142827884,Sion,0.5624
16.07,3,Katarina,0.03539739108292474,Sion,0.5296
16.07,3,Xerath,0.03158111155952013,Sion,0.5593
16.07,3,Yone,0.02974961704619383,Vel'Koz,0.5227
16.07,3,Lissandra,0.028149148020863525,Vel'Koz,0.5316
16.07,3,Fizz,0.026836371112660223,Sion,0.5281
16.07,3,Veigar,0.025786585483244723,Vel'Koz,0.5568
16.07,3,Syndra,0.025510880537664624,Vel'Koz,0.5165
