champion_i,champion_j,games_ij
Malzahar,Ahri,6523.0
Malzahar,Yasuo,5443.0
Malzahar,Viktor,4562.0
Malzahar,Mel,4234.0
Malzahar,Katarina,3924.0
Malzahar,Zed,3903.0
Malzahar,Xerath,3837.0
Malzahar,Smolder,3743.0
Malzahar,Akali,3465.0
Malzahar,Sylas,3433.0
Malzahar,Twisted Fate,3283.0
Malzahar,Veigar,3239.0
Malzahar,LeBlanc,3015.0
Malzahar,Yone,2930.0
Malzahar,Lux,2891.0
Malzahar,Fizz,2844.0
Malzahar,Syndra,2839.0
Malzahar,Lissandra,2612.0
Malzahar,Aurelion Sol,2608.0
Malzahar,Diana,2248.0
Malzahar,Orianna,2154.0
Malzahar,Ryze,2134.0
Malzahar,Hwei,2104.0
Malzahar,Zoe,2062.0
Malzahar,Anivia,2028.0
Malzahar,Galio,1948.0
Malzahar,Ekko,1938.0
Malzahar,Vladimir,1892.0
Malzahar,Aurora,1744.0
Malzahar,Irelia,1618.0
Malzahar,Vex,1565.0
Malzahar,Akshan,1495.0
Malzahar,Talon,1393.0
Malzahar,Kassadin,1350.0
Malzahar,Naafiri,1285.0
Malzahar,Azir,1266.0
Malzahar,Sion,1240.0
Malzahar,Annie,1127.0
Malzahar,Qiyana,997.0
Malzahar,Brand,791.0
Malzahar,Swain,749.0
Malzahar,Vel'Koz,739.0
Malzahar,Taliyah,709.0
Malzahar,Ziggs,689.0
Malzahar,Cassiopeia,658.0
Malzahar,Morgana,431.0
Malzahar,Nasus,383.0
Malzahar,Malphite,340.0
Malzahar,Pantheon,321.0
Malzahar,Cho'Gath,309.0
Malzahar,Jayce,273.0
Ahri,Sylas,9194.0
Ahri,Mel,8526.0
Ahri,Viktor,7715.0
Ahri,Yasuo,6972.0
Ahri,Malzahar,6523.0
Ahri,Zed,6117.0
Ahri,Katarina,5933.0
Ahri,Akali,5615.0
Ahri,Xerath,5231.0
Ahri,Syndra,5186.0
Ahri,Lissandra,4944.0
Ahri,Veigar,4909.0
Ahri,Yone,4847.0
Ahri,Orianna,4665.0
Ahri,LeBlanc,4537.0
Ahri,Lux,4384.0
Ahri,Twisted Fate,4285.0
Ahri,Fizz,4186.0
Ahri,Aurora,3992.0
Ahri,Zoe,3717.0
Ahri,Diana,3553.0
Ahri,Vex,3451.0
Ahri,Galio,3159.0
Ahri,Anivia,3097.0
Ahri,Ryze,3064.0
Ahri,Hwei,3022.0
Ahri,Ekko,2619.0
Ahri,Vladimir,2618.0
Ahri,Annie,2586.0
Ahri,Akshan,2499.0
Ahri,Aurelion Sol,2464.0
Ahri,Talon,2250.0
Ahri,Irelia,2191.0
Ahri,Azir,2144.0
Ahri,Kassadin,2142.0
Ahri,Naafiri,1952.0
Ahri,Qiyana,1825.0
Ahri,Taliyah,1394.0
Ahri,Swain,1213.0
Ahri,Brand,1183.0
Ahri,Cassiopeia,1179.0
Ahri,Vel'Koz,1115.0
Ahri,Sion,830.0
Ahri,Ziggs,775.0
Ahri,Smolder,687.0
Ahri,Jayce,604.0
Ahri,Morgana,598.0
Ahri,Pantheon,538.0
Ahri,Nasus,525.0
Ahri,Malphite,515.0
Ahri,Cho'Gath,469.0
Xerath,Viktor,5420.0
Xerath,Ahri,5231.0
Xerath,Mel,4965.0
Xerath,Malzahar,3837.0
Xerath,Yasuo,3211.0
Xerath,Syndra,2942.0
Xerath,Zed,2917.0
Xerath,Sylas,2793.0
Xerath,Lux,2658.0
Xerath,Fizz,2619.0
Xerath,Veigar,2547.0
Xerath,Katarina,2487.0
Xerath,Akali,2479.0
Xerath,Lissandra,2412.0
Xerath,Twisted Fate,2269.0
Xerath,Orianna,2256.0
Xerath,Hwei,2185.0
Xerath,LeBlanc,2142.0
Xerath,Yone,2108.0
Xerath,Anivia,2073.0
Xerath,Aurora,1680.0
Xerath,Zoe,1666.0
Xerath,Diana,1530.0
Xerath,Azir,1433.0
Xerath,Vex,1432.0
Xerath,Galio,1417.0
Xerath,Ryze,1335.0
Xerath,Aurelion Sol,1315.0
Xerath,Irelia,1209.0
Xerath,Ekko,1202.0
Xerath,Annie,1119.0
Xerath,Kassadin,1113.0
Xerath,Naafiri,1090.0
Xerath,Vladimir,1056.0
Xerath,Akshan,1050.0
Xerath,Talon,978.0
Xerath,Qiyana,815.0
Xerath,Vel'Koz,707.0
Xerath,Cassiopeia,639.0
Xerath,Ziggs,635.0
Xerath,Taliyah,606.0
Xerath,Brand,545.0
Xerath,Sion,447.0
Xerath,Swain,400.0
Xerath,Smolder,395.0
Xerath,Jayce,299.0
Xerath,Nasus,285.0
Xerath,Morgana,277.0
Xerath,Malphite,250.0
Xerath,Pantheon,236.0
Xerath,Cho'Gath,228.0
Veigar,Ahri,4909.0
Veigar,Malzahar,3239.0
Veigar,Viktor,2969.0
Veigar,Yasuo,2902.0
Veigar,Mel,2799.0
Veigar,Katarina,2786.0
Veigar,Xerath,2547.0
Veigar,Fizz,2471.0
Veigar,Zed,2448.0
Veigar,Akali,2435.0
Veigar,Sylas,2372.0
Veigar,Lux,2007.0
Veigar,Syndra,1994.0
Veigar,Lissandra,1988.0
Veigar,Yone,1882.0
Veigar,Orianna,1698.0
Veigar,Twisted Fate,1455.0
Veigar,Aurelion Sol,1418.0
Veigar,LeBlanc,1406.0
Veigar,Aurora,1399.0
Veigar,Anivia,1398.0
Veigar,Vex,1387.0
Veigar,Ekko,1373.0
Veigar,Ryze,1347.0
Veigar,Diana,1306.0
Veigar,Hwei,1258.0
Veigar,Kassadin,1242.0
Veigar,Zoe,1242.0
Veigar,Vladimir,1199.0
Veigar,Galio,1171.0
Veigar,Akshan,951.0
Veigar,Annie,933.0
Veigar,Naafiri,906.0
Veigar,Irelia,896.0
Veigar,Azir,841.0
Veigar,Talon,759.0
Veigar,Qiyana,639.0
Veigar,Vel'Koz,537.0
Veigar,Cassiopeia,523.0
Veigar,Brand,480.0
Veigar,Ziggs,474.0
Veigar,Swain,445.0
Veigar,Smolder,413.0
Veigar,Taliyah,408.0
Veigar,Sion,312.0
Veigar,Malphite,267.0
Veigar,Nasus,256.0
Veigar,Morgana,253.0
Veigar,Pantheon,245.0
Veigar,Jayce,221.0
Veigar,Cho'Gath,183.0
Viktor,Ahri,7715.0
Viktor,Xerath,5420.0
Viktor,Mel,4586.0
Viktor,Malzahar,4562.0
Viktor,Yasuo,4265.0
Viktor,Sylas,3911.0
Viktor,Orianna,3759.0
Viktor,Syndra,3756.0
Viktor,Akali,3717.0
Viktor,Yone,3491.0
Viktor,Zed,3476.0
Viktor,Katarina,3269.0
Viktor,Lissandra,3103.0
Viktor,Veigar,2969.0
Viktor,Twisted Fate,2856.0
Viktor,Lux,2671.0
Viktor,LeBlanc,2603.0
Viktor,Hwei,2479.0
Viktor,Ryze,2470.0
Viktor,Fizz,2375.0
Viktor,Anivia,2343.0
Viktor,Aurora,2272.0
Viktor,Diana,2183.0
Viktor,Zoe,2012.0
Viktor,Galio,1961.0
Viktor,Aurelion Sol,1924.0
Viktor,Vex,1788.0
Viktor,Ekko,1761.0
Viktor,Irelia,1658.0
Viktor,Vladimir,1652.0
Viktor,Kassadin,1545.0
Viktor,Azir,1542.0
Viktor,Akshan,1530.0
Viktor,Annie,1308.0
Viktor,Naafiri,1290.0
Viktor,Talon,1226.0
Viktor,Qiyana,1099.0
Viktor,Vel'Koz,945.0
Viktor,Taliyah,809.0
Viktor,Cassiopeia,784.0
Viktor,Brand,745.0
Viktor,Sion,735.0
Viktor,Ziggs,697.0
Viktor,Swain,617.0
Viktor,Smolder,507.0
Viktor,Jayce,417.0
Viktor,Nasus,391.0
Viktor,Morgana,363.0
Viktor,Malphite,352.0
Viktor,Pantheon,348.0
Viktor,Cho'Gath,335.0
Fizz,Ahri,4186.0
Fizz,Yasuo,3524.0
Fizz,Zed,3286.0
Fizz,Mel,3085.0
Fizz,Katarina,3002.0
Fizz,Malzahar,2844.0
Fizz,Sylas,2798.0
Fizz,Lissandra,2666.0
Fizz,Xerath,2620.0
Fizz,Akali,2528.0
Fizz,Veigar,2471.0
Fizz,Viktor,2375.0
Fizz,Syndra,2338.0
Fizz,Galio,2156.0
Fizz,Yone,2016.0
Fizz,Diana,1821.0
Fizz,Twisted Fate,1807.0
Fizz,Lux,1742.0
Fizz,LeBlanc,1604.0
Fizz,Zoe,1371.0
Fizz,Orianna,1356.0
Fizz,Anivia,1303.0
Fizz,Aurelion Sol,1290.0
Fizz,Vex,1284.0
Fizz,Ekko,1279.0
Fizz,Vladimir,1278.0
Fizz,Hwei,1253.0
Fizz,Aurora,1207.0
Fizz,Kassadin,1118.0
Fizz,Ryze,1047.0
Fizz,Akshan,988.0
Fizz,Talon,980.0
Fizz,Naafiri,970.0
Fizz,Irelia,886.0
Fizz,Qiyana,874.0
Fizz,Annie,813.0
Fizz,Azir,705.0
Fizz,Sion,587.0
Fizz,Vel'Koz,479.0
Fizz,Pantheon,463.0
Fizz,Brand,436.0
Fizz,Cassiopeia,416.0
Fizz,Taliyah,404.0
Fizz,Ziggs,353.0
Fizz,Swain,339.0
Fizz,Smolder,294.0
Fizz,Nasus,284.0
Fizz,Malphite,267.0
Fizz,Morgana,260.0
Fizz,Cho'Gath,218.0
Fizz,Jayce,209.0
Lissandra,Yasuo,5035.0
Lissandra,Ahri,4944.0
Lissandra,Zed,4058.0
Lissandra,Akali,3657.0
Lissandra,Katarina,3549.0
Lissandra,Viktor,3103.0
Lissandra,Sylas,3031.0
Lissandra,Fizz,2666.0
Lissandra,Malzahar,2612.0
Lissandra,Xerath,2412.0
Lissandra,Mel,2246.0
Lissandra,Yone,2231.0
Lissandra,LeBlanc,2217.0
Lissandra,Veigar,1988.0
Lissandra,Syndra,1911.0
Lissandra,Lux,1859.0
Lissandra,Orianna,1598.0
Lissandra,Diana,1572.0
Lissandra,Twisted Fate,1524.0
Lissandra,Galio,1386.0
Lissandra,Ryze,1341.0
Lissandra,Hwei,1332.0
Lissandra,Aurora,1302.0
Lissandra,Ekko,1249.0
Lissandra,Talon,1233.0
Lissandra,Anivia,1226.0
Lissandra,Zoe,1178.0
Lissandra,Vladimir,1162.0
Lissandra,Irelia,1123.0
Lissandra,Vex,1098.0
Lissandra,Akshan,1052.0
Lissandra,Aurelion Sol,1036.0
Lissandra,Naafiri,1029.0
Lissandra,Kassadin,997.0
Lissandra,Qiyana,919.0
Lissandra,Annie,884.0
Lissandra,Azir,856.0
Lissandra,Swain,592.0
Lissandra,Cassiopeia,556.0
Lissandra,Vel'Koz,506.0
Lissandra,Taliyah,434.0
Lissandra,Brand,406.0
Lissandra,Sion,350.0
Lissandra,Ziggs,331.0
Lissandra,Smolder,303.0
Lissandra,Morgana,272.0
Lissandra,Jayce,237.0
Lissandra,Malphite,234.0
Lissandra,Pantheon,234.0
Lissandra,Nasus,212.0
Lissandra,Cho'Gath,210.0
Akali,Yasuo,6017.0
Akali,Ahri,5615.0
Akali,Sylas,4927.0
Akali,Zed,4081.0
Akali,Katarina,4027.0
Akali,Viktor,3717.0
Akali,Lissandra,3657.0
Akali,Yone,3549.0
Akali,Malzahar,3465.0
Akali,Galio,3219.0
Akali,Mel,2996.0
Akali,Twisted Fate,2702.0
Akali,Fizz,2528.0
Akali,Xerath,2479.0
Akali,Veigar,2435.0
Akali,LeBlanc,2381.0
Akali,Orianna,2374.0
Akali,Vex,2361.0
Akali,Syndra,2166.0
Akali,Lux,1969.0
Akali,Aurora,1934.0
Akali,Diana,1920.0
Akali,Ryze,1797.0
Akali,Zoe,1771.0
Akali,Talon,1744.0
Akali,Irelia,1642.0
Akali,Vladimir,1621.0
Akali,Hwei,1533.0
Akali,Ekko,1509.0
Akali,Anivia,1458.0
Akali,Akshan,1445.0
Akali,Aurelion Sol,1369.0
Akali,Qiyana,1316.0
Akali,Kassadin,1282.0
Akali,Azir,1189.0
Akali,Annie,1178.0
Akali,Naafiri,1171.0
Akali,Cassiopeia,624.0
Akali,Swain,620.0
Akali,Taliyah,619.0
Akali,Pantheon,561.0
Akali,Brand,550.0
Akali,Sion,531.0
Akali,Vel'Koz,519.0
Akali,Ziggs,413.0
Akali,Jayce,411.0
Akali,Smolder,406.0
Akali,Malphite,343.0
Akali,Nasus,320.0
Akali,Morgana,291.0
Akali,Cho'Gath,276.0
Yasuo,Ahri,6972.0
Yasuo,Akali,6017.0
Yasuo,Yone,5849.0
Yasuo,Zed,5827.0
Yasuo,Malzahar,5443.0
Yasuo,Lissandra,5035.0
Yasuo,Sylas,4803.0
Yasuo,Katarina,4614.0
Yasuo,Viktor,4265.0
Yasuo,Mel,4206.0
Yasuo,Fizz,3524.0
Yasuo,Vex,3220.0
Yasuo,Xerath,3211.0
Yasuo,Veigar,2902.0
Yasuo,Vladimir,2804.0
Yasuo,LeBlanc,2619.0
Yasuo,Lux,2589.0
Yasuo,Syndra,2467.0
Yasuo,Orianna,2449.0
Yasuo,Twisted Fate,2354.0
Yasuo,Diana,2307.0
Yasuo,Anivia,2299.0
Yasuo,Aurora,2230.0
Yasuo,Annie,2204.0
Yasuo,Zoe,2162.0
Yasuo,Aurelion Sol,2161.0
Yasuo,Ekko,2098.0
Yasuo,Irelia,2070.0
Yasuo,Ryze,2021.0
Yasuo,Galio,1882.0
Yasuo,Hwei,1827.0
Yasuo,Talon,1800.0
Yasuo,Azir,1781.0
Yasuo,Kassadin,1741.0
Yasuo,Qiyana,1416.0
Yasuo,Naafiri,1387.0
Yasuo,Pantheon,1344.0
Yasuo,Akshan,1332.0
Yasuo,Malphite,1221.0
Yasuo,Taliyah,1184.0
Yasuo,Cassiopeia,807.0
Yasuo,Swain,758.0
Yasuo,Vel'Koz,727.0
Yasuo,Brand,701.0
Yasuo,Nasus,647.0
Yasuo,Sion,587.0
Yasuo,Smolder,516.0
Yasuo,Ziggs,502.0
Yasuo,Jayce,464.0
Yasuo,Cho'Gath,451.0
Yasuo,Morgana,385.0
Diana,Ahri,3553.0
Diana,Katarina,2755.0
Diana,Zed,2565.0
Diana,Sylas,2354.0
