patch,pool_size,method,selected_pool,score
16.05,1,optimized_pool_score,Anivia,0.5179348944443215
16.05,1,baseline_highest_winrate,Xerath,0.5175208029185135
16.05,1,baseline_highest_blindscore,Anivia,0.5179348944443215
16.05,1,baseline_highest_pickrate,Ahri,0.5163188615418591
16.05,2,optimized_pool_score,"Vex, Xerath",0.5320631935618636
16.05,2,baseline_highest_winrate,"Xerath, Veigar",0.5268991793189951
16.05,2,baseline_highest_blindscore,"Anivia, Xerath",0.5295874411507526
16.05,2,baseline_highest_pickrate,"Ahri, Yasuo",0.5184454643147258
16.05,3,optimized_pool_score,"Vel'Koz, Vex, Xerath",0.5388320442295531
16.05,3,baseline_highest_winrate,"Xerath, Veigar, Brand",0.5331500378537036
16.05,3,baseline_highest_blindscore,"Anivia, Xerath, Veigar",0.5341315769557116
16.05,3,baseline_highest_pickrate,"Ahri, Yasuo, Malzahar",0.5261444886254327
16.05,4,optimized_pool_score,"Naafiri, Vel'Koz, Vex, Xerath",0.5424348208604342
16.05,4,baseline_highest_winrate,"Xerath, Veigar, Brand, Anivia",0.537273672131925
16.05,4,baseline_highest_blindscore,"Anivia, Xerath, Veigar, Ahri",0.5360567207374494
16.05,4,baseline_highest_pickrate,"Ahri, Yasuo, Malzahar, Viktor",0.5271262480293951
16.05,5,optimized_pool_score,"Anivia, Xerath, Vex, Vel'Koz, Naafiri",0.5445593680032679
16.05,5,baseline_highest_winrate,"Xerath, Veigar, Brand, Anivia, Vex",0.5422399557391568
16.05,5,baseline_highest_blindscore,"Anivia, Xerath, Veigar, Ahri, Annie",0.5378734932160345
16.05,5,baseline_highest_pickrate,"Ahri, Yasuo, Malzahar, Viktor, Zed",0.5291861107097992
16.05,6,optimized_pool_score,"Anivia, Xerath, Vex, Vel'Koz, Naafiri, Brand",0.5465593184035491
16.05,6,baseline_highest_winrate,"Xerath, Veigar, Brand, Anivia, Vex, Ahri",0.5436262466848981
16.05,6,baseline_highest_blindscore,"Anivia, Xerath, Veigar, Ahri, Annie, Aurelion Sol",0.5393487565235608
16.05,6,baseline_highest_pickrate,"Ahri, Yasuo, Malzahar, Viktor, Zed, Akali",0.5296544275877108
16.05,7,optimized_pool_score,"Anivia, Xerath, Vex, Vel'Koz, Naafiri, Brand, Veigar",0.5480100537823269
16.05,7,baseline_highest_winrate,"Xerath, Veigar, Brand, Anivia, Vex, Ahri, Aurelion Sol",0.5453051482748025
16.05,7,baseline_highest_blindscore,"Anivia, Xerath, Veigar, Ahri, Annie, Aurelion Sol, Vel'Koz",0.5429440488526673
16.05,7,baseline_highest_pickrate,"Ahri, Yasuo, Malzahar, Viktor, Zed, Akali, Katarina",0.5315893054792655
16.05,8,optimized_pool_score,"Anivia, Xerath, Vex, Vel'Koz, Naafiri, Brand, Veigar, Aurelion Sol",0.5491214389834234
16.05,8,baseline_highest_winrate,"Xerath, Veigar, Brand, Anivia, Vex, Ahri, Aurelion Sol, Annie",0.5453460506376705
16.05,8,baseline_highest_blindscore,"Anivia, Xerath, Veigar, Ahri, Annie, Aurelion Sol, Vel'Koz, Brand",0.5447643209837612
16.05,8,baseline_highest_pickrate,"Ahri, Yasuo, Malzahar, Viktor, Zed, Akali, Katarina, Sylas",0.5316854609510385
